Time (s),C(A1),C(B1),A(C1),A(B1),B(C1),B(A1),C(A1!1).A(C1!1),C(B1!1).B(C1!1),A(B1!1).B(A1!1)
0,50,50,50,50,50,50,0,0,0
0.002,17,17,17,19,17,19,33,33,31
0.004,11,11,11,12,11,12,39,39,38
0.006,11,8,11,9,8,9,39,42,41
0.008,11,8,11,9,8,9,39,42,41
0.01,8,7,8,7,7,7,42,43,43
0.012,7,6,7,7,6,7,43,44,43
0.014,7,6,7,7,6,7,43,44,43
0.016,6,6,6,6,6,6,44,44,44
0.018,6,6,6,6,6,6,44,44,44
0.02,6,6,6,6,6,6,44,44,44
0.022,6,6,6,6,6,6,44,44,44
0.024,6,6,6,6,6,6,44,44,44
0.026,6,6,6,6,6,6,44,44,44
0.028,6,6,6,6,6,6,44,44,44
0.03,6,6,6,6,6,6,44,44,44
0.032,6,6,6,6,6,6,44,44,44
0.034,6,6,6,6,6,6,44,44,44
0.036,6,6,6,6,6,6,44,44,44
0.038,6,6,6,6,6,6,44,44,44
0.04,6,6,6,6,6,6,44,44,44
0.042,6,6,6,6,6,6,44,44,44
0.044,6,6,6,6,6,6,44,44,44
0.046,6,6,6,6,6,6,44,44,44
0.048,6,6,6,6,6,6,44,44,44
0.05,6,6,6,6,6,6,44,44,44
0.052,6,6,6,6,6,6,44,44,44
0.054,6,6,6,6,6,6,44,44,44
0.056,6,6,6,6,6,6,44,44,44
0.058,6,6,6,6,6,6,44,44,44
0.06,6,6,6,6,6,6,44,44,44
0.062,6,6,6,6,6,6,44,44,44
0.064,6,6,6,6,6,6,44,44,44
0.066,6,6,6,6,6,6,44,44,44
0.068,6,6,6,6,6,6,44,44,44
0.07,6,6,6,6,6,6,44,44,44
0.072,6,7,6,6,7,6,44,43,44
0.074,6,7,6,6,7,6,44,43,44
0.076,6,7,6,6,7,6,44,43,44
0.078,6,6,6,5,6,5,44,44,45
0.08,6,6,6,5,6,5,44,44,45
0.082,6,6,6,5,6,5,44,44,45
0.084,5,5,5,5,5,5,45,45,45
0.086,5,5,5,5,5,5,45,45,45
0.088,5,5,5,5,5,5,45,45,45
0.09,5,5,5,5,5,5,45,45,45
0.092,5,5,5,5,5,5,45,45,45
0.094,5,5,5,5,5,5,45,45,45
0.096,5,5,5,5,5,5,45,45,45
0.098,5,5,5,5,5,5,45,45,45
0.1,5,5,5,5,5,5,45,45,45
0.102,5,5,5,5,5,5,45,45,45
0.104,5,5,5,5,5,5,45,45,45
0.106,5,5,5,5,5,5,45,45,45
0.108,5,5,5,5,5,5,45,45,45
0.11,5,5,5,5,5,5,45,45,45
0.112,5,5,5,5,5,5,45,45,45
0.114,5,5,5,5,5,5,45,45,45
0.116,5,5,5,5,5,5,45,45,45
0.118,5,5,5,5,5,5,45,45,45
0.12,5,5,5,5,5,5,45,45,45
0.122,5,5,5,5,5,5,45,45,45
0.124,5,5,5,5,5,5,45,45,45
0.126,5,5,5,5,5,5,45,45,45
0.128,5,5,5,5,5,5,45,45,45
0.13,5,5,5,5,5,5,45,45,45
0.132,5,5,5,5,5,5,45,45,45
0.134,5,5,5,5,5,5,45,45,45
0.136,5,5,5,5,5,5,45,45,45
0.138,5,5,5,5,5,5,45,45,45
0.14,5,5,5,5,5,5,45,45,45
0.142,5,5,5,5,5,5,45,45,45
0.144,5,5,5,5,5,5,45,45,45
0.146,5,5,5,5,5,5,45,45,45
0.148,5,5,5,5,5,5,45,45,45
0.15,5,5,5,5,5,5,45,45,45
0.152,5,5,5,5,5,5,45,45,45
0.154,5,5,5,5,5,5,45,45,45
0.156,5,5,5,5,5,5,45,45,45
0.158,5,5,5,5,5,5,45,45,45
0.16,6,5,6,5,5,5,44,45,45
0.162,5,4,5,5,4,5,45,46,45
0.164,5,4,5,5,4,5,45,46,45
0.166,5,4,5,5,4,5,45,46,45
0.168,4,4,4,4,4,4,46,46,46
0.17,4,4,4,4,4,4,46,46,46
0.172,4,4,4,4,4,4,46,46,46
0.174,4,4,4,4,4,4,46,46,46
0.176,4,4,4,4,4,4,46,46,46
0.178,4,4,4,4,4,4,46,46,46
0.18,4,4,4,4,4,4,46,46,46
0.182,4,4,4,4,4,4,46,46,46
0.184,4,4,4,4,4,4,46,46,46
0.186,4,4,4,4,4,4,46,46,46
0.188,4,4,4,4,4,4,46,46,46
0.19,4,4,4,4,4,4,46,46,46
0.192,4,4,4,4,4,4,46,46,46
0.194,4,4,4,4,4,4,46,46,46
0.196,4,4,4,4,4,4,46,46,46
0.198,4,4,4,4,4,4,46,46,46
0.2,4,4,4,4,4,4,46,46,46
