Time (s): 0
100	A: 1. 
100	B: 1. 
100	P: 1. 
100	Q: 1. 
Time (s): 5e-05
99	A: 1. 
1	A: 1. Q: 1. 
100	B: 1. 
100	P: 1. 
99	Q: 1. 
Time (s): 0.0001
98	A: 1. 
2	A: 1. Q: 1. 
100	B: 1. 
100	P: 1. 
98	Q: 1. 
Time (s): 0.00015
98	A: 1. 
2	A: 1. Q: 1. 
100	B: 1. 
100	P: 1. 
98	Q: 1. 
Time (s): 0.0002
98	A: 1. 
2	A: 1. Q: 1. 
100	B: 1. 
100	P: 1. 
98	Q: 1. 
Time (s): 0.00025
98	A: 1. 
2	A: 1. Q: 1. 
100	B: 1. 
100	P: 1. 
98	Q: 1. 
Time (s): 0.0003
98	A: 1. 
2	A: 1. Q: 1. 
100	B: 1. 
100	P: 1. 
98	Q: 1. 
Time (s): 0.00035
98	A: 1. 
2	A: 1. Q: 1. 
99	B: 1. 
1	B: 1. P: 1. 
99	P: 1. 
98	Q: 1. 
Time (s): 0.0004
98	A: 1. 
2	A: 1. Q: 1. 
99	B: 1. 
1	B: 1. P: 1. 
99	P: 1. 
98	Q: 1. 
Time (s): 0.00045
98	A: 1. 
2	A: 1. Q: 1. 
99	B: 1. 
1	B: 1. P: 1. 
99	P: 1. 
98	Q: 1. 
Time (s): 0.0005
98	A: 1. 
1	A: 1. B: 1. Q: 1. 
1	A: 1. Q: 1. 
98	B: 1. 
1	B: 1. P: 1. 
98	Q: 1. 
99	P: 1. 
Time (s): 0.00055
98	A: 1. 
1	A: 1. B: 1. Q: 1. 
1	A: 1. Q: 1. 
98	B: 1. 
1	B: 1. P: 1. 
98	Q: 1. 
99	P: 1. 
Time (s): 0.0006
98	A: 1. 
1	A: 1. B: 1. Q: 1. 
1	A: 1. Q: 1. 
97	B: 1. 
1	B: 1. Q: 1. 
1	B: 1. P: 1. 
97	Q: 1. 
99	P: 1. 
Time (s): 0.00065
98	A: 1. 
1	A: 1. B: 1. Q: 1. 
1	A: 1. Q: 1. 
97	B: 1. 
1	B: 1. Q: 1. 
1	B: 1. P: 1. 
97	Q: 1. 
99	P: 1. 
Time (s): 0.0007
98	A: 1. 
1	A: 1. B: 1. Q: 1. 
1	A: 1. Q: 1. 
97	B: 1. 
1	B: 1. Q: 1. 
1	B: 1. P: 1. 
97	Q: 1. 
99	P: 1. 
Time (s): 0.00075
98	A: 1. 
1	A: 1. B: 1. Q: 1. 
1	A: 1. Q: 1. 
97	B: 1. 
1	B: 1. Q: 1. 
1	B: 1. P: 1. 
97	Q: 1. 
99	P: 1. 
Time (s): 0.0008
98	A: 1. 
1	A: 1. B: 1. Q: 1. 
1	A: 1. Q: 1. 
97	B: 1. 
1	B: 1. Q: 1. 
1	B: 1. P: 1. 
97	Q: 1. 
99	P: 1. 
Time (s): 0.00085
98	A: 1. 
1	A: 1. B: 1. Q: 1. 
1	A: 1. Q: 1. 
97	B: 1. 
1	B: 1. Q: 1. 
1	B: 1. P: 1. 
97	Q: 1. 
99	P: 1. 
Time (s): 0.0009
97	A: 1. 
1	A: 1. B: 1. Q: 1. 
1	A: 1. Q: 1. 
1	A: 1. B: 1. 
96	B: 1. 
1	B: 1. Q: 1. 
1	B: 1. P: 1. 
97	Q: 1. 
99	P: 1. 
Time (s): 0.00095
97	A: 1. 
1	A: 1. B: 1. Q: 1. 
1	A: 1. Q: 1. 
1	A: 1. B: 1. 
96	B: 1. 
1	B: 1. Q: 1. 
1	B: 1. P: 1. 
97	Q: 1. 
99	P: 1. 
Time (s): 0.001
97	A: 1. 
1	A: 1. B: 1. Q: 1. 
1	A: 1. Q: 1. 
1	A: 1. B: 1. 
96	B: 1. 
1	B: 1. Q: 1. 
1	B: 1. P: 1. 
97	Q: 1. 
99	P: 1. 
Time (s): 0.00105
97	A: 1. 
1	A: 1. B: 1. Q: 1. 
1	A: 1. Q: 1. 
1	A: 1. B: 1. 
96	B: 1. 
1	B: 1. Q: 1. 
1	B: 1. P: 1. 
97	Q: 1. 
99	P: 1. 
Time (s): 0.0011
96	A: 1. 
1	A: 1. P: 1. 
1	A: 1. B: 1. Q: 1. 
1	A: 1. Q: 1. 
1	A: 1. B: 1. 
96	B: 1. 
1	B: 1. Q: 1. 
1	B: 1. P: 1. 
97	Q: 1. 
98	P: 1. 
Time (s): 0.00115
96	A: 1. 
1	A: 1. P: 1. 
1	A: 1. B: 1. Q: 1. 
1	A: 1. Q: 1. 
1	A: 1. B: 1. 
96	B: 1. 
1	B: 1. Q: 1. 
1	B: 1. P: 1. 
97	Q: 1. 
98	P: 1. 
Time (s): 0.0012
96	A: 1. 
1	A: 1. P: 1. 
1	A: 1. B: 1. Q: 1. 
1	A: 1. Q: 1. 
1	A: 1. B: 1. 
96	B: 1. 
1	B: 1. Q: 1. 
1	B: 1. P: 1. 
97	Q: 1. 
98	P: 1. 
Time (s): 0.00125
96	A: 1. 
1	A: 1. P: 1. 
1	A: 1. B: 1. Q: 1. 
1	A: 1. Q: 1. 
1	A: 1. B: 1. 
96	B: 1. 
1	B: 1. Q: 1. 
1	B: 1. P: 1. 
97	Q: 1. 
98	P: 1. 
