TIME(s)	'A,A'	'A,B'	'B,B'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0	0	0
0.001	5	4	2	2	0	0	0	0	0	0	9
0.002	8	13	7	6	0	0	0	0	0	0	22
0.003	10	23	8	8	0	0	0	0	0	0	33
0.004	15	25	11	9	0	0	0	0	0	0	42
0.005	15	32	16	12	0	0	0	0	0	0	51
0.006	27	39	18	21	0	0	0	0	0	0	64
0.007	28	43	28	28	1	0	0	0	0	0	72
0.008	34	55	38	45	2	1	0	0	0	0	83
0.009	37	58	44	50	2	1	0	0	0	0	90
0.01	38	61	44	51	3	1	0	0	0	0	93
0.011	41	66	47	56	4	2	0	0	0	0	99
0.012	43	73	51	62	6	3	0	0	0	0	107
0.013	47	78	53	66	8	3	0	0	0	0	114
0.014	49	83	54	72	8	3	0	0	0	0	116
0.015	51	85	56	73	10	3	0	0	0	0	121
0.016	60	89	63	87	13	3	0	0	0	0	127
0.017	62	92	63	91	13	3	0	0	0	0	129
0.018	64	92	63	92	17	3	0	0	0	0	131
0.019	69	95	64	97	17	3	0	0	0	0	135
0.02	70	100	66	103	19	3	0	0	0	0	137
0.021	70	102	70	107	21	3	0	0	0	0	139
0.022	71	102	71	107	21	4	0	0	0	0	141
0.023	72	103	71	108	22	4	0	0	0	0	142
0.024	72	103	70	108	22	4	0	0	0	0	142
0.025	74	104	70	110	24	4	0	0	0	0	143
0.026	74	107	72	113	24	4	0	0	0	0	145
0.027	77	114	72	120	27	4	0	0	0	0	148
0.028	78	117	74	125	29	4	0	0	0	0	149
0.029	78	117	74	125	30	4	0	0	0	0	149
0.03	79	121	77	131	31	4	0	0	0	0	151
0.031	79	121	77	131	32	4	0	0	0	0	151
0.032	79	121	77	131	34	4	0	0	0	0	151
0.033	79	121	77	131	36	4	0	0	0	0	151
0.034	80	124	77	132	37	4	0	0	0	0	154
0.035	80	127	78	135	38	4	0	0	0	0	155
0.036	80	130	84	142	38	4	0	0	0	0	157
0.037	80	130	84	142	39	4	0	0	0	0	157
0.038	80	130	84	142	39	4	0	0	0	0	157
0.039	84	134	84	149	39	4	0	0	0	0	158
0.04	84	137	86	153	41	4	0	0	0	0	159
0.041	84	137	86	153	41	4	0	0	0	0	159
0.042	85	137	85	153	43	4	0	0	0	0	160
0.043	85	140	87	156	44	4	0	0	0	0	162
0.044	85	143	91	161	46	4	0	0	0	0	164
0.045	85	143	91	161	47	4	0	0	0	0	164
0.046	85	143	91	161	49	4	0	0	0	0	164
0.047	86	144	91	162	50	4	0	0	0	0	165
0.048	86	146	91	163	51	4	0	0	0	0	166
0.049	86	151	95	170	52	4	0	0	0	0	168
0.05	87	151	95	170	53	4	0	0	0	0	169
0.051	94	151	95	176	58	4	0	0	0	0	170
0.052	98	152	95	180	59	4	0	0	0	0	171
0.053	98	152	95	180	59	4	0	0	0	0	171
0.054	98	152	95	180	60	4	0	0	0	0	171
0.055	98	152	95	180	60	4	0	0	0	0	171
0.056	98	152	95	180	60	4	0	0	0	0	171
0.057	98	152	95	180	63	4	0	0	0	0	171
0.058	98	152	95	180	63	4	0	0	0	0	171
0.059	100	160	96	189	64	4	0	0	0	0	173
0.06	100	161	96	189	65	4	0	0	0	0	174
0.061	100	161	96	189	66	4	0	0	0	0	174
0.062	100	161	96	189	66	4	0	0	0	0	174
0.063	100	161	96	189	68	4	0	0	0	0	174
0.064	100	161	96	189	69	4	0	0	0	0	174
0.065	104	164	96	194	69	4	0	0	0	0	176
0.066	104	164	96	194	70	4	0	0	0	0	176
0.067	104	164	96	194	74	4	0	0	0	0	176
0.068	104	164	96	194	74	4	0	0	0	0	176
0.069	104	164	96	194	79	4	0	0	0	0	176
0.07	104	169	96	198	80	4	0	0	0	0	177
0.071	104	169	96	198	81	4	0	0	0	0	177
0.072	104	169	96	198	81	4	0	0	0	0	177
0.073	104	169	96	198	83	4	0	0	0	0	177
0.074	104	169	96	198	83	4	0	0	0	0	177
0.075	104	169	96	198	83	4	0	0	0	0	177
0.076	104	169	96	198	85	4	0	0	0	0	177
0.077	104	169	96	198	86	4	0	0	0	0	177
0.078	104	170	99	201	86	4	0	0	0	0	178
0.079	104	170	99	201	86	4	0	0	0	0	178
0.08	104	170	99	201	86	4	0	0	0	0	178
0.081	104	170	99	201	88	4	0	0	0	0	178
0.082	104	170	99	201	90	4	0	0	0	0	178
0.083	104	170	99	201	90	4	0	0	0	0	178
0.084	104	170	99	201	92	4	0	0	0	0	178
0.085	104	170	99	201	93	4	0	0	0	0	178
0.086	104	170	99	201	93	4	0	0	0	0	178
0.087	104	170	99	201	93	4	0	0	0	0	178
0.088	104	170	99	201	93	4	0	0	0	0	178
0.089	104	170	99	201	94	4	0	0	0	0	178
0.09	104	170	99	201	94	4	0	0	0	0	178
0.091	104	170	99	201	94	4	0	0	0	0	178
0.092	104	170	99	201	95	4	0	0	0	0	178
0.093	104	170	99	201	95	4	0	0	0	0	178
0.094	104	170	99	201	96	4	0	0	0	0	178
0.095	104	170	99	201	97	4	0	0	0	0	178
0.096	104	170	98	201	99	4	0	0	0	0	178
0.097	104	170	98	201	99	4	0	0	0	0	178
0.098	104	170	98	201	99	4	0	0	0	0	178
0.099	104	171	101	204	101	4	0	0	0	0	179
0.1	104	171	101	204	101	4	0	0	0	0	179
0.101	104	171	101	204	102	4	0	0	0	0	179
0.102	104	171	101	204	103	4	0	0	0	0	179
0.103	104	171	101	204	103	4	0	0	0	0	179
0.104	104	171	101	204	104	4	0	0	0	0	179
0.105	104	171	101	204	104	4	0	0	0	0	179
0.106	104	171	101	204	105	4	0	0	0	0	179
