Time (s),A(lg1),A(lg2),A(lg3),A(lg4),A(lg5),B(lg1),B(lg2),B(lg3),B(lg4),B(lg5),A(lg1!1).A(lg1!1),A(lg2!1).A(lg2!1),A(lg3!1).A(lg3!1),A(lg4!1).A(lg4!1),A(lg5!1).A(lg5!1),A(lg1!1).A(lg2!1),A(lg1!1).A(lg3!1),A(lg1!1).A(lg4!1),A(lg1!1).A(lg5!1),A(lg2!1).A(lg3!1),A(lg2!1).A(lg4!1),A(lg2!1).A(lg5!1),A(lg3!1).A(lg4!1),A(lg3!1).A(lg5!1),A(lg4!1).A(lg5!1),B(lg1!1).B(lg1!1),B(lg2!1).B(lg2!1),B(lg3!1).B(lg3!1),B(lg4!1).B(lg4!1),B(lg5!1).B(lg5!1),B(lg1!1).B(lg2!1),B(lg1!1).B(lg3!1),B(lg1!1).B(lg4!1),B(lg1!1).B(lg5!1),B(lg2!1).B(lg3!1),B(lg2!1).B(lg4!1),B(lg2!1).B(lg5!1),B(lg3!1).B(lg4!1),B(lg3!1).B(lg5!1),B(lg4!1).B(lg5!1),A(lg1!1).B(lg1!1),A(lg1!1).B(lg2!1),A(lg1!1).B(lg3!1),A(lg1!1).B(lg4!1),A(lg1!1).B(lg5!1),A(lg2!1).B(lg1!1),A(lg2!1).B(lg2!1),A(lg2!1).B(lg3!1),A(lg2!1).B(lg4!1),A(lg2!1).B(lg5!1),A(lg3!1).B(lg1!1),A(lg3!1).B(lg2!1),A(lg3!1).B(lg3!1),A(lg3!1).B(lg4!1),A(lg3!1).B(lg5!1),A(lg4!1).B(lg1!1),A(lg4!1).B(lg2!1),A(lg4!1).B(lg3!1),A(lg4!1).B(lg4!1),A(lg4!1).B(lg5!1),A(lg5!1).B(lg1!1),A(lg5!1).B(lg2!1),A(lg5!1).B(lg3!1),A(lg5!1).B(lg4!1),A(lg5!1).B(lg5!1)
0,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,96,100,99,97,94,98,100,99,97,98,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.002,94,97,93,95,92,96,99,98,90,90,1,0,1,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,2,0,0,1,0,1,0,0,0,2,1,1,0,0,1,2,0,0,0,2,1,0,0,0,0,1
0.003,91,96,91,91,88,93,99,92,89,88,1,0,1,1,2,0,0,1,1,0,0,0,0,1,2,0,0,0,1,0,0,1,1,1,0,0,1,1,0,2,0,0,4,0,1,0,0,1,2,1,3,0,0,1,2,1,0,0,2,1,0,0,1,0,3
0.004,88,92,88,89,88,91,97,89,89,87,2,1,1,1,2,0,1,1,1,1,1,0,0,1,2,0,0,0,1,0,0,2,1,1,1,0,1,1,1,2,0,0,4,0,1,0,0,1,2,1,4,0,0,1,2,1,1,0,2,1,0,0,1,0,3
0.005,88,91,85,87,87,89,93,84,85,85,2,1,1,1,2,0,1,1,1,1,1,0,0,1,2,0,0,0,1,0,0,2,1,1,2,2,2,1,2,2,0,0,4,0,1,0,0,1,3,1,4,0,2,2,2,3,1,0,2,1,0,0,2,0,3
0.006,84,86,77,79,81,88,90,82,81,84,3,2,2,2,2,0,1,1,1,2,3,0,0,3,5,0,0,0,1,0,0,2,2,1,2,3,2,2,2,1,0,1,4,1,1,0,0,1,3,1,4,0,3,3,3,3,1,0,2,2,0,1,2,0,3
0.007,83,85,75,78,80,83,85,79,73,81,3,2,2,2,2,0,1,1,1,2,3,1,0,3,5,0,0,0,2,0,1,2,5,2,3,3,3,4,2,1,0,1,4,2,1,0,0,1,3,1,4,1,3,3,4,3,2,0,2,2,0,1,2,0,3
0.008,78,81,71,72,75,80,77,72,67,73,4,3,3,2,2,0,1,1,1,2,3,1,1,3,7,0,1,0,2,0,1,3,6,2,4,3,5,5,3,3,0,2,4,2,3,1,1,1,3,1,4,1,4,3,4,3,2,1,3,3,0,2,3,1,3
0.009,77,79,69,69,74,78,72,68,64,72,4,3,3,3,2,0,1,1,1,3,4,1,1,3,7,0,1,1,2,0,1,3,6,2,5,5,6,6,3,3,0,3,4,2,3,1,1,1,3,1,5,1,4,3,4,3,2,1,3,3,1,2,3,1,3
