Time (s),A(A1),A(A2),A(A3),A(A1!1).A(A1!1),A(A2!1).A(A2!1),A(A3!1).A(A3!1)
0,200,200,200,0,0,0
0.005,62,54,54,69,73,73
0.01,46,40,40,77,80,80
0.015,34,34,32,83,83,84
0.02,34,34,32,83,83,84
0.025,30,30,32,85,85,84
0.03,30,30,32,85,85,84
0.035,30,30,32,85,85,84
0.04,30,30,32,85,85,84
0.045,30,30,32,85,85,84
0.0499995,26,30,28,87,85,86
