TIME (s) 	MONO:A	DIMERS W:A	
0	200	0	
0.005	7	20	
0.01	2	15	
0.015	0	10	
0.02	0	10	
0.025	0	8	
0.03	0	8	
0.035	0	8	
0.04	0	8	
0.045	0	8	
0.0499995	0	6	
