TIME(s)	'A,A'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0
0.005	215	86	16	0	0	0	0	0	129
0.01	237	101	23	0	0	0	0	0	136
0.015	250	110	34	0	0	0	0	0	140
0.02	250	110	43	0	0	0	0	0	140
0.025	254	113	52	0	0	0	0	0	142
0.03	254	113	61	0	0	0	0	0	142
0.035	254	113	68	0	0	0	0	0	142
0.04	254	113	76	0	0	0	0	0	142
0.045	254	113	90	0	0	0	0	0	143
0.0499995	258	116	94	0	0	0	0	0	144
