TIME(s)	'pip2,ap2'	'ap2,clat'	'clat,clat'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
1.785	160	0	10	0	0	0	0	0	0	0	528
1.8	160	0	10	0	0	0	0	0	0	0	530
1.815	158	0	11	0	0	0	0	0	0	0	532
1.83	155	0	11	0	0	0	0	0	0	0	534
1.845	157	0	13	0	0	0	0	0	0	0	540
1.86	158	0	14	0	0	0	0	0	0	0	543
1.875	158	0	15	0	0	0	0	0	0	0	544
1.89	158	0	15	0	0	0	0	0	0	0	550
1.905	159	0	14	0	0	0	0	0	0	0	553
1.92	157	0	13	0	0	0	0	0	0	0	554
1.935	159	0	13	0	0	0	0	0	0	0	561
1.95	159	0	13	0	0	0	0	0	0	0	563
1.965	160	0	11	0	0	0	0	0	0	0	567
1.98	163	0	8	0	0	0	0	0	0	0	574
1.995	161	0	8	0	0	0	0	0	0	0	577
2.01	160	0	7	0	0	0	0	0	0	0	578
2.025	157	0	7	0	0	0	0	0	0	0	580
2.04	159	0	8	0	0	0	0	0	0	0	589
2.055	160	0	7	0	0	0	0	0	0	0	592
2.07	160	0	8	0	0	0	0	0	0	0	597
2.085	161	0	6	0	0	0	0	0	0	0	599
2.1	158	0	6	0	0	0	0	0	0	0	601
2.115	158	0	6	0	0	0	0	0	0	0	603
2.13	159	0	6	0	0	0	0	0	0	0	606
2.145	160	0	6	0	0	0	0	0	0	0	608
2.16	162	0	6	0	0	0	0	0	0	0	616
2.175	159	0	7	0	0	0	0	0	0	0	619
2.19	157	0	6	0	0	0	0	0	0	0	621
2.205	158	0	6	0	0	0	0	0	0	0	624
2.22	154	0	7	0	0	0	0	0	0	0	627
2.235	157	0	7	0	0	0	0	0	0	0	631
2.25	158	0	8	0	0	0	0	0	0	0	635
2.265	155	0	8	0	0	0	0	0	0	0	636
2.28	156	0	8	0	0	0	0	0	0	0	638
2.295	161	0	12	0	0	0	0	0	0	0	649
2.31	163	0	11	0	0	0	0	0	0	0	654
2.325	164	0	9	0	0	0	0	0	0	0	656
2.34	165	0	9	0	0	0	0	0	0	0	659
2.355	166	0	9	0	0	0	0	0	0	0	661
2.37	163	0	7	0	0	0	0	0	0	0	661
2.385	160	0	8	0	0	0	0	0	0	0	665
2.4	161	0	7	0	0	0	0	0	0	0	667
2.415	163	0	7	0	0	0	0	0	0	0	670
2.43	164	0	8	0	0	0	0	0	0	0	675
2.445	163	0	7	0	0	0	0	0	0	0	679
2.46	160	0	7	0	0	0	0	0	0	0	680
2.475	162	0	9	0	0	0	0	0	0	0	685
2.49	162	0	10	0	0	0	0	0	0	0	688
2.505	163	0	9	0	0	0	0	0	0	0	693
2.52	162	0	8	0	0	0	0	0	0	0	693
2.535	160	0	7	0	0	0	0	0	0	0	696
2.55	162	0	7	0	0	0	0	0	0	0	702
2.565	165	0	4	0	0	0	0	0	0	0	706
2.58	166	0	5	0	0	0	0	0	0	0	709
2.595	168	0	6	0	0	0	0	0	0	0	714
2.61	164	0	7	0	0	0	0	0	0	0	716
2.625	162	0	6	0	0	0	0	0	0	0	716
2.64	161	0	8	0	0	0	0	0	0	0	719
2.655	161	0	8	0	0	0	0	0	0	0	724
2.67	160	0	8	0	0	0	0	0	0	0	726
2.685	157	0	7	0	0	0	0	0	0	0	728
2.7	157	0	6	0	0	0	0	0	0	0	731
2.715	156	0	6	0	0	0	0	0	0	0	731
2.73	156	0	7	0	0	0	0	0	0	0	734
2.745	157	0	6	0	0	0	0	0	0	0	738
2.76	157	0	6	0	0	0	0	0	0	0	742
2.775	157	0	5	0	0	0	0	0	0	0	747
2.79	156	0	5	0	0	0	0	0	0	0	748
2.805	159	0	6	0	0	0	0	0	0	0	756
2.82	159	0	7	0	0	0	0	0	0	0	757
2.835	159	0	8	0	0	0	0	0	0	0	761
2.85	158	0	10	0	0	0	0	0	0	0	765
2.865	159	0	9	0	0	0	0	0	0	0	770
2.88	161	0	9	0	0	0	0	0	0	0	775
2.895	159	0	9	0	0	0	0	0	0	0	776
2.91	160	0	11	0	0	0	0	0	0	0	782
2.925	157	0	10	0	0	0	0	0	0	0	784
2.94	157	1	9	0	0	0	0	0	0	0	790
2.955	156	1	8	0	0	0	0	0	0	0	793
2.97	154	1	8	0	0	0	0	0	0	0	798
2.985	158	1	7	0	0	0	0	0	0	0	803
3	157	1	6	0	0	0	0	0	0	0	806
3.015	157	1	7	0	0	0	0	0	0	0	811
3.03	159	1	8	0	0	0	0	0	0	0	816
3.045	157	1	7	0	0	0	0	0	0	0	818
3.06	155	1	8	0	0	0	0	0	0	0	823
3.075	158	1	9	0	0	0	0	0	0	0	827
3.09	155	1	8	0	0	0	0	0	0	0	829
3.105	157	1	8	0	0	0	0	0	0	0	834
3.12	158	1	5	0	0	0	0	0	0	0	837
3.135	159	1	7	0	0	0	0	0	0	0	845
