TIME (s) 	MONO:A	DIMERS W:A	
0	200	0	
0.005	10	24	
0.01	4	21	
0.015	1	17	
0.02	0	12	
0.025	0	10	
0.03	0	10	
0.035	1	8	
0.04	0	8	
0.045	0	6	
0.0499995	0	6	
