TIME (s) 	MONO:C	DIMERS W:C	MONO:A	DIMERS W:A	MONO:B	DIMERS W:B	
0	50	0	50	0	50	0	
0.002	8	20	6	22	10	18	
0.004	5	16	4	17	6	15	
0.006	1	12	0	13	0	13	
0.008	1	12	0	13	0	13	
0.01	1	12	0	13	0	13	
0.012	1	12	0	13	0	13	
0.014	0	12	0	12	0	12	
0.016	0	12	0	12	0	12	
0.018	0	12	0	12	0	12	
0.02	0	12	0	12	0	12	
0.022	0	12	0	12	0	12	
0.024	0	12	0	12	0	12	
0.026	1	11	1	11	0	12	
0.028	1	10	0	11	0	11	
0.03	1	10	0	11	0	11	
0.032	1	10	0	11	0	11	
0.034	1	10	0	11	0	11	
0.036	1	10	0	11	0	11	
0.038	1	10	0	11	0	11	
0.04	1	10	0	11	0	11	
0.042	1	10	0	11	0	11	
0.044	1	10	0	11	0	11	
0.046	1	10	0	11	0	11	
0.048	0	10	0	10	0	10	
0.05	0	10	0	10	0	10	
0.052	0	10	0	10	0	10	
0.054	0	10	0	10	0	10	
0.056	0	10	0	10	0	10	
0.058	0	10	0	10	0	10	
0.06	0	10	0	10	0	10	
0.062	0	10	0	10	0	10	
0.064	0	10	0	10	0	10	
0.066	0	10	0	10	0	10	
0.068	0	10	0	10	0	10	
0.07	0	10	0	10	0	10	
0.072	0	10	0	10	0	10	
0.074	0	10	0	10	0	10	
0.076	0	10	0	10	0	10	
0.078	0	10	0	10	0	10	
0.08	0	10	0	10	0	10	
0.082	0	10	0	10	0	10	
0.084	0	10	0	10	0	10	
0.086	0	10	0	10	0	10	
0.088	0	10	0	10	0	10	
0.09	0	10	0	10	0	10	
0.092	0	10	0	10	0	10	
0.094	0	10	0	10	0	10	
0.096	0	10	0	10	0	10	
0.098	0	10	0	10	0	10	
0.1	0	10	1	9	1	9	
0.102	0	10	1	9	1	9	
0.104	0	9	0	9	1	8	
0.106	0	9	0	9	1	8	
0.108	0	8	0	8	0	8	
0.11	0	8	0	8	0	8	
0.112	0	8	0	8	0	8	
0.114	0	8	0	8	0	8	
0.116	0	8	0	8	0	8	
0.118	0	8	0	8	0	8	
0.12	0	8	0	8	0	8	
0.122	0	8	0	8	0	8	
0.124	0	8	0	8	0	8	
0.126	0	8	0	8	0	8	
0.128	0	8	0	8	0	8	
0.13	0	8	0	8	0	8	
0.132	0	8	0	8	0	8	
0.134	0	8	0	8	0	8	
0.136	0	8	0	8	0	8	
0.138	0	8	0	8	0	8	
0.14	0	8	1	7	1	7	
0.142	0	7	1	6	0	7	
0.144	0	7	1	6	0	7	
0.146	0	6	0	6	0	6	
0.148	0	6	0	6	0	6	
0.15	0	6	0	6	0	6	
0.152	0	6	0	6	0	6	
0.154	0	6	0	6	0	6	
0.156	0	6	0	6	0	6	
0.158	0	6	0	6	0	6	
0.16	0	6	0	6	0	6	
0.162	0	6	0	6	0	6	
0.164	0	6	0	6	0	6	
0.166	0	6	0	6	0	6	
0.168	0	6	0	6	0	6	
0.17	0	6	0	6	0	6	
0.172	0	6	0	6	0	6	
0.174	0	6	0	6	0	6	
0.176	0	6	0	6	0	6	
0.178	0	6	0	6	0	6	
0.18	0	6	0	6	0	6	
0.182	0	6	0	6	0	6	
0.184	0	6	0	6	0	6	
0.186	0	6	0	6	0	6	
0.188	0	6	0	6	0	6	
0.19	0	6	0	6	0	6	
0.192	0	6	0	6	0	6	
0.194	0	6	0	6	0	6	
0.196	0	6	0	6	0	6	
0.198	0	6	0	6	0	6	
0.2	0	6	0	6	0	6	
