Time (s),C(A1),C(B1),A(C1),A(B1),B(C1),B(A1),C(A1!1).A(C1!1),C(B1!1).B(C1!1),A(B1!1).B(A1!1)
0,50,50,50,50,50,50,0,0,0
0.002,16,20,16,18,20,18,34,30,32
0.004,12,14,12,13,14,13,38,36,37
0.006,7,7,7,6,7,6,43,43,44
0.008,7,7,7,6,7,6,43,43,44
0.01,7,7,7,6,7,6,43,43,44
0.012,7,7,7,6,7,6,43,43,44
0.014,6,6,6,6,6,6,44,44,44
0.016,6,6,6,6,6,6,44,44,44
0.018,6,6,6,6,6,6,44,44,44
0.02,6,6,6,6,6,6,44,44,44
0.022,6,6,6,6,6,6,44,44,44
0.024,6,6,6,6,6,6,44,44,44
0.026,7,6,7,6,6,6,43,44,44
0.028,6,6,6,5,6,5,44,44,45
0.03,6,6,6,5,6,5,44,44,45
0.032,6,6,6,5,6,5,44,44,45
0.034,6,6,6,5,6,5,44,44,45
0.036,6,6,6,5,6,5,44,44,45
0.038,6,6,6,5,6,5,44,44,45
0.04,6,6,6,5,6,5,44,44,45
0.042,6,6,6,5,6,5,44,44,45
0.044,6,6,6,5,6,5,44,44,45
0.046,6,6,6,5,6,5,44,44,45
0.048,5,5,5,5,5,5,45,45,45
0.05,5,5,5,5,5,5,45,45,45
0.052,5,5,5,5,5,5,45,45,45
0.054,5,5,5,5,5,5,45,45,45
0.056,5,5,5,5,5,5,45,45,45
0.058,5,5,5,5,5,5,45,45,45
0.06,5,5,5,5,5,5,45,45,45
0.062,5,5,5,5,5,5,45,45,45
0.064,5,5,5,5,5,5,45,45,45
0.066,5,5,5,5,5,5,45,45,45
0.068,5,5,5,5,5,5,45,45,45
0.07,5,5,5,5,5,5,45,45,45
0.072,5,5,5,5,5,5,45,45,45
0.074,5,5,5,5,5,5,45,45,45
0.076,5,5,5,5,5,5,45,45,45
0.078,5,5,5,5,5,5,45,45,45
0.08,5,5,5,5,5,5,45,45,45
0.082,5,5,5,5,5,5,45,45,45
0.084,5,5,5,5,5,5,45,45,45
0.086,5,5,5,5,5,5,45,45,45
0.088,5,5,5,5,5,5,45,45,45
0.09,5,5,5,5,5,5,45,45,45
0.092,5,5,5,5,5,5,45,45,45
0.094,5,5,5,5,5,5,45,45,45
0.096,5,5,5,5,5,5,45,45,45
0.098,5,5,5,5,5,5,45,45,45
0.1,5,5,5,6,5,6,45,45,44
0.102,5,5,5,6,5,6,45,45,44
0.104,4,5,4,5,5,5,46,45,45
0.106,4,5,4,5,5,5,46,45,45
0.108,4,4,4,4,4,4,46,46,46
0.11,4,4,4,4,4,4,46,46,46
0.112,4,4,4,4,4,4,46,46,46
0.114,4,4,4,4,4,4,46,46,46
0.116,4,4,4,4,4,4,46,46,46
0.118,4,4,4,4,4,4,46,46,46
0.12,4,4,4,4,4,4,46,46,46
0.122,4,4,4,4,4,4,46,46,46
0.124,4,4,4,4,4,4,46,46,46
0.126,4,4,4,4,4,4,46,46,46
0.128,4,4,4,4,4,4,46,46,46
0.13,4,4,4,4,4,4,46,46,46
0.132,4,4,4,4,4,4,46,46,46
0.134,4,4,4,4,4,4,46,46,46
0.136,4,4,4,4,4,4,46,46,46
0.138,4,4,4,4,4,4,46,46,46
0.14,4,4,4,5,4,5,46,46,45
0.142,4,3,4,4,3,4,46,47,46
0.144,4,3,4,4,3,4,46,47,46
0.146,3,3,3,3,3,3,47,47,47
0.148,3,3,3,3,3,3,47,47,47
0.15,3,3,3,3,3,3,47,47,47
0.152,3,3,3,3,3,3,47,47,47
0.154,3,3,3,3,3,3,47,47,47
0.156,3,3,3,3,3,3,47,47,47
0.158,3,3,3,3,3,3,47,47,47
0.16,3,3,3,3,3,3,47,47,47
0.162,3,3,3,3,3,3,47,47,47
0.164,3,3,3,3,3,3,47,47,47
0.166,3,3,3,3,3,3,47,47,47
0.168,3,3,3,3,3,3,47,47,47
0.17,3,3,3,3,3,3,47,47,47
0.172,3,3,3,3,3,3,47,47,47
0.174,3,3,3,3,3,3,47,47,47
0.176,3,3,3,3,3,3,47,47,47
0.178,3,3,3,3,3,3,47,47,47
0.18,3,3,3,3,3,3,47,47,47
0.182,3,3,3,3,3,3,47,47,47
0.184,3,3,3,3,3,3,47,47,47
0.186,3,3,3,3,3,3,47,47,47
0.188,3,3,3,3,3,3,47,47,47
0.19,3,3,3,3,3,3,47,47,47
0.192,3,3,3,3,3,3,47,47,47
0.194,3,3,3,3,3,3,47,47,47
0.196,3,3,3,3,3,3,47,47,47
0.198,3,3,3,3,3,3,47,47,47
0.2,3,3,3,3,3,3,47,47,47
