,Time(s),B: 1.,B: 1. IL: 1.
2036,0.04072,44.0,156.0
2037,0.04074,42.0,158.0
2038,0.04076,41.0,159.0
2039,0.04078,41.0,159.0
2040,0.0408,43.0,157.0
2041,0.04082,42.0,158.0
2042,0.04084,40.0,160.0
2043,0.04086,38.0,162.0
2044,0.04088,39.0,161.0
2045,0.0409,38.0,162.0
2046,0.04092,38.0,162.0
2047,0.04094,38.0,162.0
2048,0.04096,37.0,163.0
2049,0.04098,38.0,162.0
2050,0.041,39.0,161.0
2051,0.04102,37.0,163.0
2052,0.04104,39.0,161.0
2053,0.04106,41.0,159.0
2054,0.04108,43.0,157.0
2055,0.0411,46.0,154.0
2056,0.04112,48.0,152.0
2057,0.04114,48.0,152.0
2058,0.04116,46.0,154.0
2059,0.04118,46.0,154.0
2060,0.0412,47.0,153.0
2061,0.04122,45.0,155.0
2062,0.04124,44.0,156.0
2063,0.04126,45.0,155.0
2064,0.04128,45.0,155.0
2065,0.0413,46.0,154.0
2066,0.04132,48.0,152.0
2067,0.04134,47.0,153.0
2068,0.04136,46.0,154.0
2069,0.04138,47.0,153.0
2070,0.0414,47.0,153.0
2071,0.04142,49.0,151.0
2072,0.04144,47.0,153.0
2073,0.04146,45.0,155.0
2074,0.04148,44.0,156.0
2075,0.0415,47.0,153.0
2076,0.04152,45.0,155.0
2077,0.04154,48.0,152.0
2078,0.04156,50.0,150.0
2079,0.04158,48.0,152.0
2080,0.0416,48.0,152.0
2081,0.04162,49.0,151.0
2082,0.04164,49.0,151.0
2083,0.04166,47.0,153.0
2084,0.04168,47.0,153.0
2085,0.0417,49.0,151.0
2086,0.04172,49.0,151.0
2087,0.04174,51.0,149.0
2088,0.04176,54.0,146.0
2089,0.04178,51.0,149.0
2090,0.0418,51.0,149.0
2091,0.04182,51.0,149.0
2092,0.04184,52.0,148.0
2093,0.04186,51.0,149.0
2094,0.04188,52.0,148.0
2095,0.0419,50.0,150.0
2096,0.04192,52.0,148.0
2097,0.04194,52.0,148.0
2098,0.04196,51.0,149.0
2099,0.04198,52.0,148.0
2100,0.042,54.0,146.0
2101,0.04202,54.0,146.0
2102,0.04204,55.0,145.0
2103,0.04206,54.0,146.0
2104,0.04208,54.0,146.0
2105,0.0421,52.0,148.0
2106,0.04212,53.0,147.0
2107,0.04214,53.0,147.0
2108,0.04216,52.0,148.0
2109,0.04218,52.0,148.0
2110,0.0422,53.0,147.0
2111,0.04222,53.0,147.0
2112,0.04224,54.0,146.0
2113,0.04226,51.0,149.0
2114,0.04228,53.0,147.0
2115,0.0423,54.0,146.0
2116,0.04232,53.0,147.0
2117,0.04234,53.0,147.0
2118,0.04236,48.0,152.0
2119,0.04238,49.0,151.0
2120,0.0424,49.0,151.0
2121,0.04242,46.0,154.0
2122,0.04244,48.0,152.0
2123,0.04246,50.0,150.0
2124,0.04248,50.0,150.0
2125,0.0425,50.0,150.0
2126,0.04252,51.0,149.0
2127,0.04254,50.0,150.0
2128,0.04256,50.0,150.0
2129,0.04258,54.0,146.0
2130,0.0426,53.0,147.0
2131,0.04262,53.0,147.0
2132,0.04264,54.0,146.0
2133,0.04266,53.0,147.0
2134,0.04268,54.0,146.0
2135,0.0427,53.0,147.0
2136,0.04272,53.0,147.0
2137,0.04274,52.0,148.0
2138,0.04276,53.0,147.0
2139,0.04278,54.0,146.0
2140,0.0428,54.0,146.0
2141,0.04282,54.0,146.0
2142,0.04284,52.0,148.0
2143,0.04286,51.0,149.0
2144,0.04288,50.0,150.0
2145,0.0429,51.0,149.0
2146,0.04292,50.0,150.0
2147,0.04294,50.0,150.0
2148,0.04296,49.0,151.0
2149,0.04298,51.0,149.0
2150,0.043,50.0,150.0
2151,0.04302,48.0,152.0
2152,0.04304,49.0,151.0
2153,0.04306,47.0,153.0
2154,0.04308,46.0,154.0
2155,0.0431,47.0,153.0
2156,0.04312,48.0,152.0
2157,0.04314,47.0,153.0
2158,0.04316,44.0,156.0
2159,0.04318,46.0,154.0
2160,0.0432,46.0,154.0
2161,0.04322,45.0,155.0
2162,0.04324,45.0,155.0
2163,0.04326,44.0,156.0
2164,0.04328,43.0,157.0
2165,0.0433,43.0,157.0
2166,0.04332,41.0,159.0
2167,0.04334,43.0,157.0
2168,0.04336,44.0,156.0
2169,0.04338,45.0,155.0
2170,0.0434,46.0,154.0
2171,0.04342,45.0,155.0
2172,0.04344,46.0,154.0
2173,0.04346,45.0,155.0
2174,0.04348,44.0,156.0
2175,0.0435,45.0,155.0
2176,0.04352,46.0,154.0
2177,0.04354,47.0,153.0
2178,0.04356,45.0,155.0
2179,0.04358,46.0,154.0
2180,0.0436,48.0,152.0
2181,0.04362,48.0,152.0
2182,0.04364,45.0,155.0
2183,0.04366,45.0,155.0
2184,0.04368,45.0,155.0
2185,0.0437,47.0,153.0
2186,0.04372,45.0,155.0
2187,0.04374,45.0,155.0
2188,0.04376,41.0,159.0
2189,0.04378,42.0,158.0
2190,0.0438,41.0,159.0
2191,0.04382,41.0,159.0
2192,0.04384,42.0,158.0
2193,0.04386,40.0,160.0
2194,0.04388,39.0,161.0
2195,0.0439,39.0,161.0
2196,0.04392,40.0,160.0
2197,0.04394,41.0,159.0
2198,0.04396,40.0,160.0
2199,0.04398,40.0,160.0
2200,0.044,40.0,160.0
2201,0.04402,43.0,157.0
2202,0.04404,42.0,158.0
2203,0.04406,42.0,158.0
2204,0.04408,43.0,157.0
2205,0.0441,40.0,160.0
2206,0.04412,41.0,159.0
2207,0.04414,39.0,161.0
2208,0.04416,40.0,160.0
2209,0.04418,41.0,159.0
2210,0.0442,42.0,158.0
2211,0.04422,39.0,161.0
2212,0.04424,39.0,161.0
2213,0.04426,37.0,163.0
2214,0.04428,35.0,165.0
2215,0.0443,36.0,164.0
2216,0.04432,37.0,163.0
2217,0.04434,38.0,162.0
2218,0.04436,39.0,161.0
2219,0.04438,39.0,161.0
2220,0.0444,41.0,159.0
2221,0.04442,40.0,160.0
2222,0.04444,42.0,158.0
2223,0.04446,40.0,160.0
2224,0.04448,40.0,160.0
2225,0.0445,40.0,160.0
2226,0.04452,39.0,161.0
2227,0.04454,41.0,159.0
2228,0.04456,41.0,159.0
2229,0.04458,39.0,161.0
2230,0.0446,41.0,159.0
2231,0.04462,39.0,161.0
2232,0.04464,38.0,162.0
2233,0.04466,36.0,164.0
2234,0.04468,33.0,167.0
2235,0.0447,34.0,166.0
2236,0.04472,35.0,165.0
2237,0.04474,34.0,166.0
2238,0.04476,31.0,169.0
2239,0.04478,33.0,167.0
2240,0.0448,31.0,169.0
2241,0.04482,32.0,168.0
2242,0.04484,35.0,165.0
2243,0.04486,38.0,162.0
2244,0.04488,37.0,163.0
2245,0.0449,38.0,162.0
2246,0.04492,37.0,163.0
2247,0.04494,37.0,163.0
2248,0.04496,35.0,165.0
2249,0.04498,36.0,164.0
2250,0.045,35.0,165.0
2251,0.04502,36.0,164.0
2252,0.04504,36.0,164.0
2253,0.04506,35.0,165.0
2254,0.04508,35.0,165.0
2255,0.0451,34.0,166.0
2256,0.04512,34.0,166.0
2257,0.04514,34.0,166.0
2258,0.04516,37.0,163.0
2259,0.04518,37.0,163.0
2260,0.0452,35.0,165.0
2261,0.04522,34.0,166.0
2262,0.04524,34.0,166.0
2263,0.04526,36.0,164.0
2264,0.04528,36.0,164.0
2265,0.0453,36.0,164.0
2266,0.04532,36.0,164.0
2267,0.04534,35.0,165.0
2268,0.04536,35.0,165.0
2269,0.04538,35.0,165.0
2270,0.0454,36.0,164.0
2271,0.04542,34.0,166.0
2272,0.04544,35.0,165.0
2273,0.04546,33.0,167.0
2274,0.04548,33.0,167.0
2275,0.0455,31.0,169.0
2276,0.04552,32.0,168.0
2277,0.04554,30.0,170.0
2278,0.04556,31.0,169.0
2279,0.04558,33.0,167.0
2280,0.0456,32.0,168.0
2281,0.04562,33.0,167.0
2282,0.04564,35.0,165.0
2283,0.04566,34.0,166.0
2284,0.04568,33.0,167.0
2285,0.0457,33.0,167.0
2286,0.04572,33.0,167.0
2287,0.04574,35.0,165.0
2288,0.04576,36.0,164.0
2289,0.04578,37.0,163.0
2290,0.0458,35.0,165.0
2291,0.04582,37.0,163.0
2292,0.04584,39.0,161.0
2293,0.04586,40.0,160.0
2294,0.04588,39.0,161.0
2295,0.0459,38.0,162.0
2296,0.04592,36.0,164.0
2297,0.04594,35.0,165.0
2298,0.04596,36.0,164.0
2299,0.04598,36.0,164.0
2300,0.046,39.0,161.0
2301,0.04602,40.0,160.0
2302,0.04604,39.0,161.0
2303,0.04606,39.0,161.0
2304,0.04608,39.0,161.0
2305,0.0461,39.0,161.0
2306,0.04612,37.0,163.0
2307,0.04614,37.0,163.0
2308,0.04616,38.0,162.0
2309,0.04618,39.0,161.0
2310,0.0462,39.0,161.0
2311,0.04622,37.0,163.0
2312,0.04624,38.0,162.0
2313,0.04626,36.0,164.0
2314,0.04628,37.0,163.0
2315,0.0463,38.0,162.0
2316,0.04632,38.0,162.0
2317,0.04634,35.0,165.0
2318,0.04636,35.0,165.0
2319,0.04638,37.0,163.0
2320,0.0464,37.0,163.0
2321,0.04642,40.0,160.0
2322,0.04644,40.0,160.0
2323,0.04646,40.0,160.0
2324,0.04648,41.0,159.0
2325,0.0465,43.0,157.0
2326,0.04652,40.0,160.0
2327,0.04654,41.0,159.0
2328,0.04656,42.0,158.0
2329,0.04658,43.0,157.0
2330,0.0466,43.0,157.0
2331,0.04662,45.0,155.0
2332,0.04664,42.0,158.0
2333,0.04666,42.0,158.0
2334,0.04668,41.0,159.0
2335,0.0467,42.0,158.0
2336,0.04672,42.0,158.0
2337,0.04674,43.0,157.0
2338,0.04676,42.0,158.0
2339,0.04678,42.0,158.0
2340,0.0468,43.0,157.0
2341,0.04682,40.0,160.0
2342,0.04684,41.0,159.0
2343,0.04686,41.0,159.0
2344,0.04688,41.0,159.0
2345,0.0469,42.0,158.0
2346,0.04692,41.0,159.0
2347,0.04694,42.0,158.0
2348,0.04696,41.0,159.0
2349,0.04698,41.0,159.0
2350,0.047,43.0,157.0
2351,0.04702,44.0,156.0
2352,0.04704,44.0,156.0
2353,0.04706,42.0,158.0
2354,0.04708,43.0,157.0
2355,0.0471,44.0,156.0
2356,0.04712,45.0,155.0
2357,0.04714,43.0,157.0
2358,0.04716,44.0,156.0
2359,0.04718,43.0,157.0
2360,0.0472,43.0,157.0
2361,0.04722,43.0,157.0
2362,0.04724,45.0,155.0
2363,0.04726,41.0,159.0
2364,0.04728,41.0,159.0
2365,0.0473,42.0,158.0
2366,0.04732,43.0,157.0
2367,0.04734,43.0,157.0
2368,0.04736,43.0,157.0
2369,0.04738,40.0,160.0
2370,0.0474,36.0,164.0
2371,0.04742,38.0,162.0
2372,0.04744,37.0,163.0
2373,0.04746,37.0,163.0
2374,0.04748,37.0,163.0
2375,0.0475,38.0,162.0
2376,0.04752,40.0,160.0
2377,0.04754,40.0,160.0
2378,0.04756,41.0,159.0
2379,0.04758,44.0,156.0
2380,0.0476,44.0,156.0
2381,0.04762,41.0,159.0
2382,0.04764,40.0,160.0
2383,0.04766,39.0,161.0
2384,0.04768,39.0,161.0
2385,0.0477,40.0,160.0
2386,0.04772,40.0,160.0
2387,0.04774,40.0,160.0
2388,0.04776,38.0,162.0
2389,0.04778,36.0,164.0
2390,0.0478,35.0,165.0
2391,0.04782,34.0,166.0
2392,0.04784,36.0,164.0
2393,0.04786,38.0,162.0
2394,0.04788,37.0,163.0
2395,0.0479,37.0,163.0
2396,0.04792,38.0,162.0
2397,0.04794,39.0,161.0
2398,0.04796,38.0,162.0
2399,0.04798,38.0,162.0
2400,0.048,39.0,161.0
2401,0.04802,38.0,162.0
2402,0.04804,40.0,160.0
2403,0.04806,39.0,161.0
2404,0.04808,40.0,160.0
2405,0.0481,39.0,161.0
2406,0.04812,41.0,159.0
2407,0.04814,43.0,157.0
2408,0.04816,46.0,154.0
2409,0.04818,47.0,153.0
2410,0.0482,48.0,152.0
2411,0.04822,48.0,152.0
2412,0.04824,48.0,152.0
2413,0.04826,47.0,153.0
2414,0.04828,42.0,158.0
2415,0.0483,43.0,157.0
2416,0.04832,42.0,158.0
2417,0.04834,41.0,159.0
2418,0.04836,42.0,158.0
2419,0.04838,44.0,156.0
2420,0.0484,45.0,155.0
2421,0.04842,43.0,157.0
2422,0.04844,41.0,159.0
2423,0.04846,41.0,159.0
2424,0.04848,43.0,157.0
2425,0.0485,43.0,157.0
2426,0.04852,43.0,157.0
2427,0.04854,44.0,156.0
2428,0.04856,44.0,156.0
2429,0.04858,45.0,155.0
2430,0.0486,42.0,158.0
2431,0.04862,43.0,157.0
2432,0.04864,41.0,159.0
2433,0.04866,41.0,159.0
2434,0.04868,42.0,158.0
2435,0.0487,40.0,160.0
2436,0.04872,42.0,158.0
2437,0.04874,41.0,159.0
2438,0.04876,39.0,161.0
2439,0.04878,38.0,162.0
2440,0.0488,37.0,163.0
2441,0.04882,36.0,164.0
2442,0.04884,35.0,165.0
2443,0.04886,38.0,162.0
2444,0.04888,37.0,163.0
2445,0.0489,38.0,162.0
2446,0.04892,39.0,161.0
2447,0.04894,39.0,161.0
2448,0.04896,38.0,162.0
2449,0.04898,40.0,160.0
2450,0.049,41.0,159.0
2451,0.04902,40.0,160.0
2452,0.04904,41.0,159.0
2453,0.04906,38.0,162.0
2454,0.04908,38.0,162.0
2455,0.0491,37.0,163.0
2456,0.04912,38.0,162.0
2457,0.04914,38.0,162.0
2458,0.04916,38.0,162.0
2459,0.04918,40.0,160.0
2460,0.0492,39.0,161.0
2461,0.04922,39.0,161.0
2462,0.04924,40.0,160.0
2463,0.04926,39.0,161.0
2464,0.04928,39.0,161.0
2465,0.0493,39.0,161.0
2466,0.04932,39.0,161.0
2467,0.04934,38.0,162.0
2468,0.04936,38.0,162.0
2469,0.04938,38.0,162.0
2470,0.0494,38.0,162.0
2471,0.04942,35.0,165.0
2472,0.04944,36.0,164.0
2473,0.04946,32.0,168.0
2474,0.04948,33.0,167.0
2475,0.0495,33.0,167.0
2476,0.04952,33.0,167.0
2477,0.04954,32.0,168.0
2478,0.04956,30.0,170.0
2479,0.04958,34.0,166.0
2480,0.0496,35.0,165.0
2481,0.04962,35.0,165.0
2482,0.04964,35.0,165.0
2483,0.04966,35.0,165.0
2484,0.04968,35.0,165.0
2485,0.0497,36.0,164.0
2486,0.04972,36.0,164.0
2487,0.04974,35.0,165.0
2488,0.04976,32.0,168.0
2489,0.04978,33.0,167.0
2490,0.0498,36.0,164.0
2491,0.04982,39.0,161.0
2492,0.04984,36.0,164.0
2493,0.04986,35.0,165.0
2494,0.04988,35.0,165.0
2495,0.0499,31.0,169.0
2496,0.04992,32.0,168.0
2497,0.04994,32.0,168.0
2498,0.04996,35.0,165.0
2499,0.04998,33.0,167.0
2500,0.05,35.0,165.0
2501,0.05002,34.0,166.0
2502,0.05004,33.0,167.0
2503,0.05006,34.0,166.0
2504,0.05008,35.0,165.0
2505,0.0501,34.0,166.0
2506,0.05012,33.0,167.0
2507,0.05014,32.0,168.0
2508,0.05016,33.0,167.0
2509,0.05018,35.0,165.0
2510,0.0502,33.0,167.0
2511,0.05022,36.0,164.0
2512,0.05024,37.0,163.0
2513,0.05026,35.0,165.0
2514,0.05028,32.0,168.0
2515,0.0503,34.0,166.0
2516,0.05032,33.0,167.0
2517,0.05034,33.0,167.0
2518,0.05036,35.0,165.0
2519,0.05038,33.0,167.0
2520,0.0504,33.0,167.0
2521,0.05042,33.0,167.0
2522,0.05044,34.0,166.0
2523,0.05046,33.0,167.0
2524,0.05048,34.0,166.0
2525,0.0505,34.0,166.0
2526,0.05052,31.0,169.0
2527,0.05054,32.0,168.0
2528,0.05056,32.0,168.0
2529,0.05058,36.0,164.0
2530,0.0506,33.0,167.0
2531,0.05062,32.0,168.0
2532,0.05064,33.0,167.0
2533,0.05066,32.0,168.0
2534,0.05068,31.0,169.0
2535,0.0507,32.0,168.0
2536,0.05072,30.0,170.0
2537,0.05074,31.0,169.0
2538,0.05076,31.0,169.0
2539,0.05078,31.0,169.0
2540,0.0508,33.0,167.0
2541,0.05082,35.0,165.0
2542,0.05084,34.0,166.0
2543,0.05086,36.0,164.0
2544,0.05088,38.0,162.0
2545,0.0509,36.0,164.0
2546,0.05092,37.0,163.0
2547,0.05094,34.0,166.0
2548,0.05096,34.0,166.0
2549,0.05098,35.0,165.0
2550,0.051,37.0,163.0
2551,0.05102,36.0,164.0
2552,0.05104,35.0,165.0
2553,0.05106,36.0,164.0
2554,0.05108,35.0,165.0
2555,0.0511,36.0,164.0
2556,0.05112,37.0,163.0
2557,0.05114,38.0,162.0
2558,0.05116,37.0,163.0
2559,0.05118,36.0,164.0
2560,0.0512,36.0,164.0
2561,0.05122,36.0,164.0
2562,0.05124,38.0,162.0
2563,0.05126,39.0,161.0
2564,0.05128,38.0,162.0
2565,0.0513,37.0,163.0
2566,0.05132,40.0,160.0
2567,0.05134,42.0,158.0
2568,0.05136,40.0,160.0
2569,0.05138,41.0,159.0
2570,0.0514,39.0,161.0
2571,0.05142,39.0,161.0
2572,0.05144,40.0,160.0
2573,0.05146,40.0,160.0
2574,0.05148,39.0,161.0
2575,0.0515,40.0,160.0
2576,0.05152,40.0,160.0
2577,0.05154,43.0,157.0
2578,0.05156,39.0,161.0
2579,0.05158,37.0,163.0
2580,0.0516,39.0,161.0
2581,0.05162,39.0,161.0
2582,0.05164,38.0,162.0
2583,0.05166,37.0,163.0
2584,0.05168,37.0,163.0
2585,0.0517,36.0,164.0
2586,0.05172,37.0,163.0
2587,0.05174,37.0,163.0
2588,0.05176,37.0,163.0
2589,0.05178,37.0,163.0
2590,0.0518,41.0,159.0
2591,0.05182,41.0,159.0
2592,0.05184,40.0,160.0
2593,0.05186,40.0,160.0
2594,0.05188,40.0,160.0
2595,0.0519,38.0,162.0
2596,0.05192,39.0,161.0
2597,0.05194,39.0,161.0
2598,0.05196,40.0,160.0
2599,0.05198,37.0,163.0
2600,0.052,38.0,162.0
2601,0.05202,38.0,162.0
2602,0.05204,37.0,163.0
2603,0.05206,38.0,162.0
2604,0.05208,39.0,161.0
2605,0.0521,40.0,160.0
2606,0.05212,40.0,160.0
2607,0.05214,38.0,162.0
2608,0.05216,40.0,160.0
2609,0.05218,39.0,161.0
2610,0.0522,38.0,162.0
2611,0.05222,38.0,162.0
2612,0.05224,36.0,164.0
2613,0.05226,35.0,165.0
2614,0.05228,34.0,166.0
2615,0.0523,34.0,166.0
2616,0.05232,33.0,167.0
2617,0.05234,32.0,168.0
2618,0.05236,34.0,166.0
2619,0.05238,35.0,165.0
2620,0.0524,36.0,164.0
2621,0.05242,38.0,162.0
2622,0.05244,39.0,161.0
2623,0.05246,37.0,163.0
2624,0.05248,37.0,163.0
2625,0.0525,38.0,162.0
2626,0.05252,40.0,160.0
2627,0.05254,38.0,162.0
2628,0.05256,39.0,161.0
2629,0.05258,39.0,161.0
2630,0.0526,39.0,161.0
2631,0.05262,37.0,163.0
2632,0.05264,35.0,165.0
2633,0.05266,37.0,163.0
2634,0.05268,37.0,163.0
2635,0.0527,38.0,162.0
2636,0.05272,37.0,163.0
2637,0.05274,35.0,165.0
2638,0.05276,35.0,165.0
2639,0.05278,35.0,165.0
2640,0.0528,34.0,166.0
2641,0.05282,37.0,163.0
2642,0.05284,37.0,163.0
2643,0.05286,38.0,162.0
2644,0.05288,37.0,163.0
2645,0.0529,37.0,163.0
2646,0.05292,39.0,161.0
2647,0.05294,39.0,161.0
2648,0.05296,33.0,167.0
2649,0.05298,33.0,167.0
2650,0.053,33.0,167.0
2651,0.05302,29.0,171.0
2652,0.05304,29.0,171.0
2653,0.05306,30.0,170.0
2654,0.05308,31.0,169.0
2655,0.0531,29.0,171.0
2656,0.05312,28.0,172.0
2657,0.05314,30.0,170.0
2658,0.05316,32.0,168.0
2659,0.05318,29.0,171.0
2660,0.0532,29.0,171.0
2661,0.05322,32.0,168.0
2662,0.05324,33.0,167.0
2663,0.05326,33.0,167.0
2664,0.05328,37.0,163.0
2665,0.0533,36.0,164.0
2666,0.05332,37.0,163.0
2667,0.05334,36.0,164.0
2668,0.05336,37.0,163.0
2669,0.05338,36.0,164.0
2670,0.0534,34.0,166.0
2671,0.05342,37.0,163.0
2672,0.05344,35.0,165.0
2673,0.05346,34.0,166.0
2674,0.05348,35.0,165.0
2675,0.0535,36.0,164.0
2676,0.05352,37.0,163.0
2677,0.05354,39.0,161.0
2678,0.05356,41.0,159.0
2679,0.05358,43.0,157.0
2680,0.0536,40.0,160.0
2681,0.05362,41.0,159.0
2682,0.05364,41.0,159.0
2683,0.05366,43.0,157.0
2684,0.05368,39.0,161.0
2685,0.0537,41.0,159.0
2686,0.05372,41.0,159.0
2687,0.05374,39.0,161.0
2688,0.05376,36.0,164.0
2689,0.05378,36.0,164.0
2690,0.0538,38.0,162.0
2691,0.05382,39.0,161.0
2692,0.05384,37.0,163.0
2693,0.05386,36.0,164.0
2694,0.05388,37.0,163.0
2695,0.0539,40.0,160.0
2696,0.05392,43.0,157.0
2697,0.05394,41.0,159.0
2698,0.05396,40.0,160.0
2699,0.05398,41.0,159.0
2700,0.054,41.0,159.0
2701,0.05402,41.0,159.0
2702,0.05404,41.0,159.0
2703,0.05406,43.0,157.0
2704,0.05408,43.0,157.0
2705,0.0541,40.0,160.0
2706,0.05412,44.0,156.0
2707,0.05414,42.0,158.0
2708,0.05416,43.0,157.0
2709,0.05418,44.0,156.0
2710,0.0542,44.0,156.0
2711,0.05422,44.0,156.0
2712,0.05424,45.0,155.0
2713,0.05426,46.0,154.0
2714,0.05428,47.0,153.0
2715,0.0543,46.0,154.0
2716,0.05432,43.0,157.0
2717,0.05434,43.0,157.0
2718,0.05436,44.0,156.0
2719,0.05438,44.0,156.0
2720,0.0544,42.0,158.0
2721,0.05442,42.0,158.0
2722,0.05444,40.0,160.0
2723,0.05446,41.0,159.0
2724,0.05448,38.0,162.0
2725,0.0545,38.0,162.0
2726,0.05452,40.0,160.0
2727,0.05454,39.0,161.0
2728,0.05456,40.0,160.0
2729,0.05458,38.0,162.0
2730,0.0546,36.0,164.0
2731,0.05462,33.0,167.0
2732,0.05464,35.0,165.0
2733,0.05466,36.0,164.0
2734,0.05468,37.0,163.0
2735,0.0547,39.0,161.0
2736,0.05472,40.0,160.0
2737,0.05474,43.0,157.0
2738,0.05476,45.0,155.0
2739,0.05478,43.0,157.0
2740,0.0548,43.0,157.0
2741,0.05482,41.0,159.0
2742,0.05484,45.0,155.0
2743,0.05486,45.0,155.0
2744,0.05488,45.0,155.0
2745,0.0549,45.0,155.0
2746,0.05492,46.0,154.0
2747,0.05494,47.0,153.0
2748,0.05496,46.0,154.0
2749,0.05498,49.0,151.0
2750,0.055,48.0,152.0
2751,0.05502,49.0,151.0
2752,0.05504,46.0,154.0
2753,0.05506,46.0,154.0
2754,0.05508,43.0,157.0
2755,0.0551,43.0,157.0
2756,0.05512,44.0,156.0
2757,0.05514,45.0,155.0
2758,0.05516,45.0,155.0
2759,0.05518,48.0,152.0
2760,0.0552,48.0,152.0
2761,0.05522,49.0,151.0
2762,0.05524,48.0,152.0
2763,0.05526,46.0,154.0
2764,0.05528,48.0,152.0
2765,0.0553,46.0,154.0
2766,0.05532,46.0,154.0
2767,0.05534,49.0,151.0
2768,0.05536,47.0,153.0
2769,0.05538,45.0,155.0
2770,0.0554,45.0,155.0
2771,0.05542,43.0,157.0
2772,0.05544,44.0,156.0
2773,0.05546,44.0,156.0
2774,0.05548,43.0,157.0
2775,0.0555,43.0,157.0
2776,0.05552,43.0,157.0
2777,0.05554,46.0,154.0
2778,0.05556,47.0,153.0
2779,0.05558,48.0,152.0
2780,0.0556,48.0,152.0
2781,0.05562,47.0,153.0
2782,0.05564,49.0,151.0
2783,0.05566,47.0,153.0
2784,0.05568,45.0,155.0
2785,0.0557,46.0,154.0
2786,0.05572,46.0,154.0
2787,0.05574,46.0,154.0
2788,0.05576,46.0,154.0
2789,0.05578,46.0,154.0
2790,0.0558,45.0,155.0
2791,0.05582,47.0,153.0
2792,0.05584,46.0,154.0
2793,0.05586,47.0,153.0
2794,0.05588,47.0,153.0
2795,0.0559,47.0,153.0
2796,0.05592,48.0,152.0
2797,0.05594,47.0,153.0
2798,0.05596,46.0,154.0
2799,0.05598,45.0,155.0
2800,0.056,46.0,154.0
2801,0.05602,45.0,155.0
2802,0.05604,45.0,155.0
2803,0.05606,47.0,153.0
2804,0.05608,43.0,157.0
2805,0.0561,43.0,157.0
2806,0.05612,42.0,158.0
2807,0.05614,43.0,157.0
2808,0.05616,45.0,155.0
2809,0.05618,43.0,157.0
2810,0.0562,43.0,157.0
2811,0.05622,42.0,158.0
2812,0.05624,42.0,158.0
2813,0.05626,43.0,157.0
2814,0.05628,42.0,158.0
2815,0.0563,41.0,159.0
2816,0.05632,42.0,158.0
2817,0.05634,41.0,159.0
2818,0.05636,43.0,157.0
2819,0.05638,43.0,157.0
2820,0.0564,42.0,158.0
2821,0.05642,40.0,160.0
2822,0.05644,40.0,160.0
2823,0.05646,39.0,161.0
2824,0.05648,39.0,161.0
2825,0.0565,38.0,162.0
2826,0.05652,38.0,162.0
2827,0.05654,38.0,162.0
2828,0.05656,39.0,161.0
2829,0.05658,37.0,163.0
2830,0.0566,38.0,162.0
2831,0.05662,38.0,162.0
2832,0.05664,40.0,160.0
2833,0.05666,40.0,160.0
2834,0.05668,42.0,158.0
2835,0.0567,42.0,158.0
2836,0.05672,45.0,155.0
2837,0.05674,43.0,157.0
2838,0.05676,41.0,159.0
2839,0.05678,39.0,161.0
2840,0.0568,39.0,161.0
2841,0.05682,37.0,163.0
2842,0.05684,39.0,161.0
2843,0.05686,42.0,158.0
2844,0.05688,40.0,160.0
2845,0.0569,38.0,162.0
2846,0.05692,39.0,161.0
2847,0.05694,42.0,158.0
2848,0.05696,42.0,158.0
2849,0.05698,41.0,159.0
2850,0.057,41.0,159.0
2851,0.05702,44.0,156.0
2852,0.05704,40.0,160.0
2853,0.05706,40.0,160.0
2854,0.05708,39.0,161.0
2855,0.0571,38.0,162.0
2856,0.05712,35.0,165.0
2857,0.05714,35.0,165.0
2858,0.05716,36.0,164.0
2859,0.05718,38.0,162.0
2860,0.0572,36.0,164.0
2861,0.05722,40.0,160.0
2862,0.05724,38.0,162.0
2863,0.05726,39.0,161.0
2864,0.05728,41.0,159.0
2865,0.0573,42.0,158.0
2866,0.05732,41.0,159.0
2867,0.05734,42.0,158.0
2868,0.05736,41.0,159.0
2869,0.05738,42.0,158.0
2870,0.0574,41.0,159.0
2871,0.05742,41.0,159.0
2872,0.05744,39.0,161.0
2873,0.05746,39.0,161.0
2874,0.05748,42.0,158.0
2875,0.0575,43.0,157.0
2876,0.05752,44.0,156.0
2877,0.05754,45.0,155.0
2878,0.05756,45.0,155.0
2879,0.05758,49.0,151.0
2880,0.0576,48.0,152.0
2881,0.05762,46.0,154.0
2882,0.05764,47.0,153.0
2883,0.05766,46.0,154.0
2884,0.05768,47.0,153.0
2885,0.0577,46.0,154.0
2886,0.05772,45.0,155.0
2887,0.05774,46.0,154.0
2888,0.05776,47.0,153.0
2889,0.05778,45.0,155.0
2890,0.0578,46.0,154.0
2891,0.05782,44.0,156.0
2892,0.05784,46.0,154.0
2893,0.05786,45.0,155.0
2894,0.05788,46.0,154.0
2895,0.0579,47.0,153.0
2896,0.05792,47.0,153.0
2897,0.05794,46.0,154.0
2898,0.05796,46.0,154.0
2899,0.05798,46.0,154.0
2900,0.058,45.0,155.0
2901,0.05802,47.0,153.0
2902,0.05804,46.0,154.0
2903,0.05806,45.0,155.0
2904,0.05808,46.0,154.0
2905,0.0581,47.0,153.0
2906,0.05812,47.0,153.0
2907,0.05814,47.0,153.0
2908,0.05816,46.0,154.0
2909,0.05818,47.0,153.0
