Time (s): 0
10	A: 1. F: 1. 
79	F: 1. 
17	A: 3. 
28	A: 1. 
1	A: 4. F: 2. 
7	A: 4. 
1	A: 4. F: 1. 
2	A: 6. 
1	A: 3. F: 1. 
1	A: 3. F: 3. 
Time (s): 0.029
2	A: 2. F: 2. 
14	A: 2. 
5	A: 5. 
10	A: 1. F: 1. 
78	F: 1. 
16	A: 3. 
28	A: 1. 
1	A: 4. F: 2. 
7	A: 4. 
1	A: 4. F: 1. 
2	A: 6. 
2	A: 3. F: 1. 
1	A: 3. F: 3. 
Time (s): 0.03
2	A: 2. F: 2. 
13	A: 2. 
5	A: 5. 
10	A: 1. F: 1. 
76	F: 1. 
16	A: 3. 
28	A: 1. 
1	A: 4. F: 2. 
7	A: 4. 
1	A: 4. F: 1. 
2	A: 6. 
1	A: 3. F: 1. 
1	A: 3. F: 2. 
1	A: 2. F: 1. 
1	A: 3. F: 3. 
Time (s): 0.031
2	A: 2. F: 2. 
13	A: 2. 
5	A: 5. 
10	A: 1. F: 1. 
74	F: 1. 
15	A: 3. 
28	A: 1. 
1	A: 4. F: 2. 
7	A: 4. 
1	A: 4. F: 1. 
2	A: 6. 
1	A: 3. F: 1. 
2	A: 3. F: 2. 
1	A: 2. F: 1. 
1	A: 3. F: 3. 
Time (s): 0.032
2	A: 2. F: 2. 
12	A: 2. 
5	A: 5. 
10	A: 1. F: 1. 
72	F: 1. 
15	A: 3. 
27	A: 1. 
1	A: 4. F: 2. 
7	A: 4. 
1	A: 4. F: 1. 
2	A: 6. 
1	A: 3. F: 1. 
3	A: 3. F: 2. 
1	A: 2. F: 1. 
1	A: 3. F: 3. 
Time (s): 0.033
2	A: 2. F: 2. 
11	A: 2. 
5	A: 5. 
10	A: 1. F: 1. 
71	F: 1. 
16	A: 3. 
26	A: 1. 
2	A: 4. F: 2. 
7	A: 4. 
2	A: 6. 
1	A: 3. F: 1. 
3	A: 3. F: 2. 
1	A: 2. F: 1. 
1	A: 3. F: 3. 
Time (s): 0.034
3	A: 2. F: 2. 
11	A: 2. 
5	A: 5. 
9	A: 1. F: 1. 
70	F: 1. 
16	A: 3. 
25	A: 1. 
2	A: 4. F: 2. 
7	A: 4. 
2	A: 6. 
1	A: 3. F: 1. 
3	A: 3. F: 2. 
1	A: 2. F: 1. 
1	A: 3. F: 3. 
Time (s): 0.035
3	A: 2. F: 2. 
11	A: 2. 
6	A: 5. 
9	A: 1. F: 1. 
70	F: 1. 
16	A: 3. 
24	A: 1. 
2	A: 4. F: 2. 
6	A: 4. 
2	A: 6. 
1	A: 3. F: 1. 
3	A: 3. F: 2. 
1	A: 2. F: 1. 
1	A: 3. F: 3. 
Time (s): 0.036
4	A: 2. F: 2. 
11	A: 2. 
6	A: 5. 
9	A: 1. F: 1. 
69	F: 1. 
15	A: 3. 
23	A: 1. 
2	A: 4. F: 2. 
7	A: 4. 
2	A: 6. 
1	A: 3. F: 1. 
3	A: 3. F: 2. 
1	A: 3. F: 3. 
Time (s): 0.037
4	A: 2. F: 2. 
11	A: 2. 
4	A: 5. 
10	A: 1. F: 1. 
66	F: 1. 
13	A: 3. 
19	A: 1. 
2	A: 4. F: 2. 
8	A: 4. 
2	A: 3. F: 1. 
4	A: 6. 
2	A: 3. F: 3. 
2	A: 3. F: 2. 
Time (s): 0.038
5	A: 2. F: 2. 
11	A: 2. 
4	A: 5. 
8	A: 1. F: 1. 
66	F: 1. 
13	A: 3. 
19	A: 1. 
2	A: 4. F: 2. 
8	A: 4. 
2	A: 3. F: 1. 
4	A: 6. 
2	A: 3. F: 3. 
2	A: 3. F: 2. 
Time (s): 0.039
6	A: 2. F: 2. 
11	A: 2. 
4	A: 5. 
6	A: 1. F: 1. 
65	F: 1. 
13	A: 3. 
19	A: 1. 
2	A: 4. F: 2. 
8	A: 4. 
3	A: 3. F: 2. 
4	A: 6. 
1	A: 3. F: 1. 
2	A: 3. F: 3. 
Time (s): 0.04
6	A: 2. F: 2. 
11	A: 2. 
5	A: 5. 
6	A: 1. F: 1. 
65	F: 1. 
13	A: 3. 
2	A: 4. F: 2. 
7	A: 4. 
18	A: 1. 
3	A: 3. F: 2. 
4	A: 6. 
1	A: 3. F: 1. 
2	A: 3. F: 3. 
Time (s): 0.041
6	A: 2. F: 2. 
11	A: 2. 
5	A: 5. 
6	A: 1. F: 1. 
65	F: 1. 
13	A: 3. 
2	A: 4. F: 2. 
7	A: 4. 
18	A: 1. 
3	A: 3. F: 2. 
4	A: 6. 
1	A: 3. F: 1. 
2	A: 3. F: 3. 
Time (s): 0.042
6	A: 2. F: 2. 
11	A: 2. 
5	A: 5. 
6	A: 1. F: 1. 
65	F: 1. 
13	A: 3. 
2	A: 4. F: 2. 
7	A: 4. 
18	A: 1. 
3	A: 3. F: 2. 
4	A: 6. 
1	A: 3. F: 1. 
2	A: 3. F: 3. 
Time (s): 0.043
6	A: 2. F: 2. 
11	A: 2. 
5	A: 5. 
6	A: 1. F: 1. 
65	F: 1. 
13	A: 3. 
2	A: 4. F: 2. 
7	A: 4. 
18	A: 1. 
3	A: 3. F: 2. 
4	A: 6. 
1	A: 3. F: 1. 
2	A: 3. F: 3. 
Time (s): 0.044
6	A: 2. F: 2. 
11	A: 2. 
5	A: 5. 
6	A: 1. F: 1. 
65	F: 1. 
13	A: 3. 
2	A: 4. F: 2. 
7	A: 4. 
18	A: 1. 
3	A: 3. F: 2. 
4	A: 6. 
1	A: 3. F: 1. 
2	A: 3. F: 3. 
Time (s): 0.045
6	A: 2. F: 2. 
11	A: 2. 
5	A: 5. 
6	A: 1. F: 1. 
65	F: 1. 
13	A: 3. 
2	A: 4. F: 2. 
7	A: 4. 
18	A: 1. 
3	A: 3. F: 2. 
4	A: 6. 
1	A: 3. F: 1. 
2	A: 3. F: 3. 
Time (s): 0.046
6	A: 2. F: 2. 
11	A: 2. 
5	A: 5. 
6	A: 1. F: 1. 
65	F: 1. 
13	A: 3. 
2	A: 4. F: 2. 
7	A: 4. 
18	A: 1. 
3	A: 3. F: 2. 
4	A: 6. 
1	A: 3. F: 1. 
2	A: 3. F: 3. 
Time (s): 0.047
6	A: 2. F: 2. 
11	A: 2. 
5	A: 5. 
6	A: 1. F: 1. 
65	F: 1. 
13	A: 3. 
2	A: 4. F: 2. 
7	A: 4. 
18	A: 1. 
3	A: 3. F: 2. 
4	A: 6. 
1	A: 3. F: 1. 
2	A: 3. F: 3. 
Time (s): 0.048
6	A: 2. F: 2. 
10	A: 2. 
5	A: 5. 
7	A: 1. F: 1. 
62	F: 1. 
13	A: 3. 
1	A: 4. F: 2. 
6	A: 4. 
5	A: 6. 
17	A: 1. 
4	A: 3. F: 2. 
1	A: 4. F: 3. 
2	A: 3. F: 3. 
Time (s): 0.049
5	A: 3. F: 2. 
10	A: 2. 
5	A: 5. 
7	A: 1. F: 1. 
62	F: 1. 
13	A: 3. 
1	A: 4. F: 2. 
6	A: 4. 
5	A: 6. 
16	A: 1. 
5	A: 2. F: 2. 
1	A: 4. F: 3. 
2	A: 3. F: 3. 
Time (s): 0.05
5	A: 3. F: 2. 
10	A: 2. 
5	A: 5. 
7	A: 1. F: 1. 
62	F: 1. 
13	A: 3. 
1	A: 4. F: 2. 
6	A: 4. 
5	A: 6. 
16	A: 1. 
5	A: 2. F: 2. 
1	A: 4. F: 3. 
2	A: 3. F: 3. 
Time (s): 0.051
5	A: 3. F: 2. 
10	A: 2. 
4	A: 5. 
7	A: 1. F: 1. 
60	F: 1. 
13	A: 3. 
1	A: 4. F: 2. 
6	A: 4. 
5	A: 6. 
16	A: 1. 
4	A: 2. F: 2. 
1	A: 4. F: 3. 
1	A: 2. F: 1. 
2	A: 3. F: 3. 
1	A: 5. F: 3. 
Time (s): 0.052
5	A: 3. F: 2. 
9	A: 2. 
5	A: 5. 
8	A: 1. F: 1. 
58	F: 1. 
12	A: 3. 
1	A: 4. F: 2. 
6	A: 4. 
5	A: 6. 
15	A: 1. 
4	A: 2. F: 2. 
1	A: 4. F: 3. 
1	A: 2. F: 1. 
2	A: 3. F: 3. 
1	A: 5. F: 4. 
Time (s): 0.053
5	A: 3. F: 2. 
9	A: 2. 
5	A: 5. 
8	A: 1. F: 1. 
58	F: 1. 
12	A: 3. 
1	A: 4. F: 2. 
6	A: 4. 
5	A: 6. 
15	A: 1. 
4	A: 2. F: 2. 
1	A: 4. F: 3. 
1	A: 2. F: 1. 
2	A: 3. F: 3. 
1	A: 5. F: 4. 
Time (s): 0.054
5	A: 3. F: 2. 
8	A: 2. 
5	A: 5. 
8	A: 1. F: 1. 
57	F: 1. 
13	A: 3. 
1	A: 4. F: 2. 
5	A: 4. 
5	A: 6. 
14	A: 1. 
4	A: 2. F: 2. 
1	A: 4. F: 3. 
2	A: 3. F: 3. 
1	A: 2. F: 1. 
1	A: 4. F: 1. 
1	A: 5. F: 4. 
Time (s): 0.055
5	A: 3. F: 2. 
8	A: 2. 
5	A: 5. 
8	A: 1. F: 1. 
57	F: 1. 
13	A: 3. 
1	A: 4. F: 2. 
5	A: 4. 
5	A: 6. 
14	A: 1. 
4	A: 2. F: 2. 
1	A: 4. F: 3. 
2	A: 3. F: 3. 
1	A: 2. F: 1. 
1	A: 4. F: 1. 
1	A: 5. F: 4. 
Time (s): 0.056
5	A: 3. F: 2. 
8	A: 2. 
5	A: 5. 
8	A: 1. F: 1. 
57	F: 1. 
13	A: 3. 
1	A: 4. F: 2. 
5	A: 4. 
5	A: 6. 
14	A: 1. 
4	A: 2. F: 2. 
1	A: 4. F: 3. 
2	A: 3. F: 3. 
1	A: 2. F: 1. 
1	A: 4. F: 1. 
1	A: 5. F: 4. 
Time (s): 0.057
5	A: 3. F: 2. 
8	A: 2. 
5	A: 5. 
7	A: 1. F: 1. 
57	F: 1. 
13	A: 3. 
1	A: 4. F: 2. 
5	A: 4. 
5	A: 6. 
14	A: 1. 
4	A: 2. F: 2. 
1	A: 4. F: 3. 
2	A: 3. F: 3. 
1	A: 2. F: 1. 
1	A: 5. F: 2. 
1	A: 5. F: 4. 
Time (s): 0.058
5	A: 3. F: 2. 
8	A: 2. 
5	A: 5. 
7	A: 1. F: 1. 
57	F: 1. 
13	A: 3. 
1	A: 4. F: 2. 
5	A: 4. 
5	A: 6. 
14	A: 1. 
4	A: 2. F: 2. 
1	A: 4. F: 3. 
2	A: 3. F: 3. 
1	A: 2. F: 1. 
1	A: 5. F: 2. 
1	A: 5. F: 4. 
Time (s): 0.059
5	A: 3. F: 2. 
8	A: 2. 
5	A: 5. 
8	A: 1. F: 1. 
56	F: 1. 
13	A: 3. 
1	A: 4. F: 2. 
5	A: 4. 
5	A: 6. 
13	A: 1. 
4	A: 2. F: 2. 
1	A: 4. F: 3. 
2	A: 3. F: 3. 
1	A: 2. F: 1. 
1	A: 5. F: 2. 
1	A: 5. F: 4. 
Time (s): 0.06
5	A: 3. F: 2. 
8	A: 2. 
6	A: 5. 
8	A: 1. F: 1. 
56	F: 1. 
13	A: 3. 
1	A: 4. F: 2. 
4	A: 4. 
5	A: 6. 
12	A: 1. 
4	A: 2. F: 2. 
1	A: 4. F: 3. 
2	A: 3. F: 3. 
1	A: 2. F: 1. 
1	A: 5. F: 2. 
1	A: 5. F: 4. 
Time (s): 0.061
5	A: 3. F: 2. 
8	A: 2. 
6	A: 5. 
8	A: 1. F: 1. 
56	F: 1. 
13	A: 3. 
1	A: 4. F: 2. 
4	A: 4. 
5	A: 6. 
12	A: 1. 
4	A: 2. F: 2. 
1	A: 4. F: 3. 
2	A: 3. F: 3. 
1	A: 2. F: 1. 
1	A: 5. F: 2. 
1	A: 5. F: 4. 
Time (s): 0.062
5	A: 3. F: 2. 
8	A: 2. 
6	A: 5. 
8	A: 1. F: 1. 
56	F: 1. 
13	A: 3. 
1	A: 4. F: 2. 
4	A: 4. 
5	A: 6. 
12	A: 1. 
4	A: 2. F: 2. 
1	A: 4. F: 3. 
2	A: 3. F: 3. 
1	A: 2. F: 1. 
1	A: 5. F: 2. 
1	A: 5. F: 4. 
Time (s): 0.063
5	A: 3. F: 2. 
8	A: 2. 
6	A: 5. 
5	A: 1. F: 1. 
55	F: 1. 
13	A: 3. 
1	A: 4. F: 2. 
4	A: 4. 
4	A: 6. 
11	A: 1. 
2	A: 2. F: 1. 
5	A: 2. F: 2. 
1	A: 4. F: 3. 
2	A: 3. F: 3. 
1	A: 6. F: 1. 
1	A: 5. F: 2. 
1	A: 5. F: 4. 
Time (s): 0.064
5	A: 3. F: 2. 
7	A: 2. 
14	A: 3. 
5	A: 5. 
5	A: 1. F: 1. 
51	F: 1. 
1	A: 4. F: 2. 
4	A: 4. 
4	A: 6. 
10	A: 1. 
2	A: 2. F: 1. 
5	A: 2. F: 2. 
1	A: 4. F: 3. 
2	A: 3. F: 3. 
1	A: 6. F: 1. 
2	A: 5. F: 4. 
1	A: 5. F: 2. 
Time (s): 0.065
5	A: 3. F: 2. 
7	A: 2. 
14	A: 3. 
5	A: 5. 
5	A: 1. F: 1. 
49	F: 1. 
1	A: 4. F: 2. 
4	A: 4. 
4	A: 6. 
10	A: 1. 
6	A: 2. F: 2. 
1	A: 4. F: 3. 
2	A: 3. F: 3. 
1	A: 6. F: 1. 
1	A: 2. F: 1. 
1	A: 5. F: 5. 
1	A: 5. F: 2. 
1	A: 5. F: 4. 
Time (s): 0.066
4	A: 3. F: 2. 
7	A: 2. 
14	A: 3. 
5	A: 5. 
5	A: 1. F: 1. 
50	F: 1. 
1	A: 4. F: 2. 
4	A: 4. 
4	A: 6. 
10	A: 1. 
6	A: 2. F: 2. 
1	A: 4. F: 3. 
2	A: 3. F: 3. 
1	A: 6. F: 1. 
1	A: 2. F: 1. 
1	A: 5. F: 5. 
1	A: 5. F: 2. 
1	A: 3. F: 1. 
1	A: 5. F: 4. 
Time (s): 0.067
4	A: 3. F: 2. 
7	A: 2. 
14	A: 3. 
5	A: 5. 
5	A: 1. F: 1. 
50	F: 1. 
1	A: 4. F: 2. 
4	A: 4. 
4	A: 6. 
10	A: 1. 
6	A: 2. F: 2. 
1	A: 4. F: 3. 
2	A: 3. F: 3. 
1	A: 6. F: 1. 
1	A: 2. F: 1. 
1	A: 5. F: 5. 
1	A: 5. F: 2. 
1	A: 3. F: 1. 
1	A: 5. F: 4. 
Time (s): 0.068
4	A: 3. F: 2. 
6	A: 2. 
13	A: 3. 
6	A: 5. 
5	A: 1. F: 1. 
50	F: 1. 
1	A: 4. F: 2. 
4	A: 4. 
4	A: 6. 
10	A: 1. 
6	A: 2. F: 2. 
1	A: 4. F: 3. 
2	A: 3. F: 3. 
1	A: 6. F: 1. 
1	A: 2. F: 1. 
1	A: 5. F: 5. 
1	A: 5. F: 2. 
1	A: 3. F: 1. 
1	A: 5. F: 4. 
Time (s): 0.069
4	A: 3. F: 2. 
6	A: 2. 
13	A: 3. 
6	A: 5. 
5	A: 1. F: 1. 
51	F: 1. 
1	A: 4. F: 2. 
4	A: 4. 
4	A: 6. 
10	A: 1. 
5	A: 2. F: 2. 
2	A: 2. F: 1. 
1	A: 4. F: 3. 
2	A: 3. F: 3. 
1	A: 6. F: 1. 
1	A: 5. F: 5. 
1	A: 5. F: 2. 
1	A: 3. F: 1. 
1	A: 5. F: 4. 
Time (s): 0.07
4	A: 3. F: 2. 
6	A: 2. 
11	A: 3. 
6	A: 5. 
4	A: 1. F: 1. 
51	F: 1. 
5	A: 6. 
1	A: 4. F: 2. 
4	A: 4. 
10	A: 1. 
3	A: 3. F: 3. 
2	A: 2. F: 1. 
4	A: 2. F: 2. 
1	A: 4. F: 3. 
1	A: 6. F: 1. 
1	A: 5. F: 5. 
1	A: 5. F: 2. 
1	A: 3. F: 1. 
1	A: 5. F: 4. 
Time (s): 0.071
4	A: 3. F: 2. 
6	A: 2. 
11	A: 3. 
6	A: 5. 
4	A: 1. F: 1. 
51	F: 1. 
5	A: 6. 
1	A: 4. F: 2. 
4	A: 4. 
10	A: 1. 
3	A: 3. F: 3. 
2	A: 2. F: 1. 
4	A: 2. F: 2. 
