Time (s),A(lg1),A(lg2),A(lg3),A(lg4),A(lg5),B(lg1),B(lg2),B(lg3),B(lg4),B(lg5),A(lg1!1).A(lg1!1),A(lg2!1).A(lg2!1),A(lg3!1).A(lg3!1),A(lg4!1).A(lg4!1),A(lg5!1).A(lg5!1),A(lg1!1).A(lg2!1),A(lg1!1).A(lg3!1),A(lg1!1).A(lg4!1),A(lg1!1).A(lg5!1),A(lg2!1).A(lg3!1),A(lg2!1).A(lg4!1),A(lg2!1).A(lg5!1),A(lg3!1).A(lg4!1),A(lg3!1).A(lg5!1),A(lg4!1).A(lg5!1),B(lg1!1).B(lg1!1),B(lg2!1).B(lg2!1),B(lg3!1).B(lg3!1),B(lg4!1).B(lg4!1),B(lg5!1).B(lg5!1),B(lg1!1).B(lg2!1),B(lg1!1).B(lg3!1),B(lg1!1).B(lg4!1),B(lg1!1).B(lg5!1),B(lg2!1).B(lg3!1),B(lg2!1).B(lg4!1),B(lg2!1).B(lg5!1),B(lg3!1).B(lg4!1),B(lg3!1).B(lg5!1),B(lg4!1).B(lg5!1),A(lg1!1).B(lg1!1),A(lg1!1).B(lg2!1),A(lg1!1).B(lg3!1),A(lg1!1).B(lg4!1),A(lg1!1).B(lg5!1),A(lg2!1).B(lg1!1),A(lg2!1).B(lg2!1),A(lg2!1).B(lg3!1),A(lg2!1).B(lg4!1),A(lg2!1).B(lg5!1),A(lg3!1).B(lg1!1),A(lg3!1).B(lg2!1),A(lg3!1).B(lg3!1),A(lg3!1).B(lg4!1),A(lg3!1).B(lg5!1),A(lg4!1).B(lg1!1),A(lg4!1).B(lg2!1),A(lg4!1).B(lg3!1),A(lg4!1).B(lg4!1),A(lg4!1).B(lg5!1),A(lg5!1).B(lg1!1),A(lg5!1).B(lg2!1),A(lg5!1).B(lg3!1),A(lg5!1).B(lg4!1),A(lg5!1).B(lg5!1)
0.016,58,70,62,67,54,63,62,64,71,63,2,1,2,1,4,1,6,3,7,4,3,6,6,2,7,2,1,0,1,3,1,4,7,2,3,5,5,4,8,3,6,6,2,4,3,4,4,2,2,2,2,6,3,1,4,4,3,2,1,2,3,3,8,0,2
0.017,53,69,60,65,52,58,58,60,65,58,2,1,2,1,4,1,7,4,9,4,3,6,6,2,7,2,2,0,1,4,1,4,10,2,3,7,5,4,10,4,7,6,2,4,3,5,4,2,2,2,2,6,4,1,4,4,3,3,1,2,3,3,8,0,2
0.018,52,68,57,65,49,57,56,59,62,57,2,1,2,1,4,1,7,4,10,4,3,7,6,3,7,2,2,0,2,4,1,5,10,2,3,8,5,4,10,4,7,6,2,4,3,5,4,2,2,2,2,7,4,1,5,4,3,3,1,2,3,3,8,0,2
0.019,51,64,54,62,49,56,56,58,62,54,2,2,2,2,4,1,8,4,10,4,4,7,6,3,7,2,2,0,2,4,1,5,10,2,3,8,5,4,11,4,7,6,2,4,3,6,4,2,2,2,2,7,4,1,7,4,3,3,1,2,3,3,8,0,2
0.02,51,64,54,62,49,55,55,58,62,54,2,2,2,2,4,1,8,4,10,4,4,7,6,3,7,2,2,0,2,4,2,5,10,2,3,8,5,4,11,4,7,6,2,4,3,6,4,2,2,2,2,7,4,1,7,4,3,3,1,2,3,3,8,0,2
0.021,51,64,53,62,47,55,54,58,60,54,2,2,2,2,4,1,8,4,10,4,4,7,6,4,7,2,2,0,3,4,2,5,10,2,3,8,5,4,11,4,7,6,2,4,3,6,4,2,2,2,2,7,4,1,7,4,3,3,1,2,3,4,8,0,2
0.022,50,64,53,62,47,55,54,57,58,52,2,2,2,2,4,1,8,4,10,4,4,7,6,4,7,2,2,0,4,4,2,5,10,2,3,8,5,4,12,4,7,6,2,4,4,6,4,2,2,2,2,7,4,1,7,4,3,3,1,2,3,4,8,0,2
0.023,50,64,53,62,47,53,54,57,58,52,2,2,2,2,4,1,8,4,10,4,4,7,6,4,7,3,2,0,4,4,2,5,10,2,3,8,5,4,12,4,7,6,2,4,4,6,4,2,2,2,2,7,4,1,7,4,3,3,1,2,3,4,8,0,2
0.024,48,64,53,62,46,53,52,53,56,49,2,2,2,2,4,1,8,4,10,4,4,7,6,4,7,3,2,0,4,4,2,5,10,2,4,9,5,5,13,4,7,6,3,4,5,6,4,2,2,2,2,7,4,1,7,4,3,3,1,2,3,4,8,0,3
0.025,47,62,51,61,45,53,51,50,56,48,2,3,2,2,4,1,8,4,10,4,4,7,7,4,7,3,2,1,4,4,2,5,10,2,4,9,5,5,13,4,7,6,4,4,5,6,4,2,2,2,2,7,4,1,8,4,3,3,1,2,3,5,8,0,3
