TIME(s)	'A,A'	'A,B'	'B,B'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0	0	0
0.001	4	2	4	0	0	0	0	0	0	0	10
0.002	6	7	5	1	0	0	0	0	0	0	17
0.003	10	17	15	11	0	0	0	0	0	0	31
0.004	17	21	17	11	0	0	0	0	0	0	44
0.005	20	25	19	13	0	0	0	0	0	0	51
0.006	21	30	24	17	0	0	0	0	0	0	58
0.007	27	43	27	26	0	0	0	0	0	0	71
0.008	32	46	33	31	0	0	0	0	0	0	80
0.009	36	52	35	39	0	0	0	0	0	0	85
0.01	40	61	36	45	0	0	0	0	0	0	93
0.011	46	64	38	52	1	0	0	0	0	0	97
0.012	49	66	41	57	2	0	0	0	0	0	100
0.013	53	69	47	64	2	0	0	0	0	0	106
0.014	54	75	48	67	3	0	0	0	0	0	111
0.015	55	79	49	70	4	0	0	0	0	0	114
0.016	55	79	49	70	4	0	0	0	0	0	114
0.017	59	83	59	81	4	0	0	0	0	0	121
0.018	62	85	62	85	5	0	0	0	0	0	125
0.019	66	88	63	91	8	0	0	0	0	0	127
0.02	66	88	64	91	9	0	0	0	0	0	128
0.021	67	89	65	91	11	0	0	0	0	0	131
0.022	67	90	67	93	14	0	0	0	0	0	132
0.023	67	90	68	93	15	0	0	0	0	0	133
0.024	67	93	72	97	16	0	0	0	0	0	136
0.025	69	96	73	101	19	0	0	0	0	0	138
0.026	72	99	74	106	23	0	0	0	0	0	140
0.027	72	99	74	106	24	0	0	0	0	0	141
0.028	72	103	76	109	25	0	0	0	0	0	144
0.029	72	103	76	109	26	0	0	0	0	0	144
0.03	72	106	77	111	26	0	0	0	0	0	146
0.031	72	106	78	111	26	0	0	0	0	0	147
0.032	76	110	78	117	26	0	0	0	0	0	149
0.033	82	110	79	121	29	0	0	0	0	0	152
0.034	82	111	79	122	30	0	0	0	0	0	153
0.035	83	112	79	124	32	0	0	0	0	0	154
0.036	84	115	79	127	32	0	0	0	0	0	155
0.037	86	116	79	129	33	0	0	0	0	0	156
0.038	86	118	80	132	36	0	0	0	0	0	157
0.039	86	118	80	132	41	1	0	0	0	0	157
0.04	91	123	84	143	43	1	0	0	0	0	160
0.041	92	123	84	143	44	1	0	0	0	0	161
0.042	92	123	84	143	45	1	0	0	0	0	161
0.043	92	123	84	143	46	1	0	0	0	0	161
0.044	93	124	84	144	47	1	0	0	0	0	162
0.045	93	124	83	144	47	1	0	0	0	0	162
0.046	92	127	83	146	51	1	0	0	0	0	163
0.047	93	131	84	151	51	1	0	0	0	0	164
0.048	93	131	84	151	51	1	0	0	0	0	164
0.049	97	131	84	155	53	1	0	0	0	0	165
0.05	97	131	85	155	53	1	0	0	0	0	166
0.051	99	131	85	155	56	1	0	0	0	0	168
0.052	99	131	84	155	57	1	0	0	0	0	168
0.053	99	131	85	155	58	1	0	0	0	0	169
0.054	99	131	85	155	59	1	0	0	0	0	169
0.055	99	131	85	155	59	1	0	0	0	0	169
0.056	99	131	91	159	59	1	0	0	0	0	171
0.057	99	131	91	159	61	1	0	0	0	0	171
0.058	99	131	91	159	63	1	0	0	0	0	171
0.059	99	131	96	162	64	1	0	0	0	0	173
0.06	99	131	96	162	65	1	0	0	0	0	173
0.061	99	131	96	162	67	1	0	0	0	0	173
0.062	99	131	96	162	70	1	0	0	0	0	173
0.063	99	131	96	162	71	1	0	0	0	0	173
0.064	99	131	96	162	71	1	0	0	0	0	173
0.065	99	135	96	165	73	1	0	0	0	0	174
0.066	99	135	96	165	74	1	0	0	0	0	174
0.067	99	135	96	165	75	1	0	0	0	0	174
0.068	100	136	96	166	76	1	0	0	0	0	175
0.069	100	136	96	166	78	1	0	0	0	0	175
0.07	100	136	96	166	80	1	0	0	0	0	175
0.071	101	136	96	166	80	1	0	0	0	0	176
0.072	101	136	96	166	81	1	0	0	0	0	176
0.073	101	136	96	166	83	1	0	0	0	0	176
0.074	102	138	96	168	83	1	0	0	0	0	177
0.075	102	139	96	168	83	1	0	0	0	0	178
0.076	102	141	99	172	88	1	0	0	0	0	179
0.077	102	141	99	172	93	1	0	0	0	0	179
0.078	102	141	99	172	97	1	0	0	0	0	179
0.079	102	141	99	172	97	1	0	0	0	0	179
0.08	102	141	99	172	97	1	0	0	0	0	179
0.081	102	141	99	172	99	1	0	0	0	0	179
0.082	102	141	99	172	99	1	0	0	0	0	179
0.083	102	141	99	172	104	1	0	0	0	0	179
0.084	102	141	99	172	104	1	0	0	0	0	179
0.085	102	141	99	172	104	2	0	0	0	0	179
0.086	102	141	99	172	105	2	0	0	0	0	179
0.087	104	143	99	175	106	2	0	0	0	0	180
0.088	107	145	99	179	107	2	0	0	0	0	181
0.089	107	145	99	179	107	2	0	0	0	0	181
0.09	107	145	99	179	109	2	0	0	0	0	181
0.091	107	145	99	179	110	2	0	0	0	0	181
0.092	107	145	99	179	111	2	0	0	0	0	181
0.093	107	145	99	179	112	2	0	0	0	0	181
