Time (s): 0
2500	gag: 1. 
Time (s): 0.0005
2115	gag: 1. 
182	gag: 2. 
7	gag: 3. 
Time (s): 0.001
1804	gag: 1. 
310	gag: 2. 
20	gag: 3. 
4	gag: 4. 
Time (s): 0.0015
1555	gag: 1. 
396	gag: 2. 
34	gag: 3. 
10	gag: 4. 
1	gag: 6. 
1	gag: 5. 
Time (s): 0.002
1382	gag: 1. 
439	gag: 2. 
54	gag: 3. 
14	gag: 4. 
2	gag: 5. 
2	gag: 6. 
Time (s): 0.0025
1237	gag: 1. 
481	gag: 2. 
61	gag: 3. 
20	gag: 4. 
3	gag: 6. 
4	gag: 5. 
Time (s): 0.003
1109	gag: 1. 
506	gag: 2. 
71	gag: 3. 
27	gag: 4. 
3	gag: 6. 
8	gag: 5. 
Time (s): 0.0035
998	gag: 1. 
511	gag: 2. 
87	gag: 3. 
36	gag: 4. 
3	gag: 6. 
2	gag: 7. 
1	gag: 8. 
7	gag: 5. 
Time (s): 0.004
916	gag: 1. 
501	gag: 2. 
91	gag: 3. 
50	gag: 4. 
5	gag: 6. 
2	gag: 7. 
1	gag: 10. 
11	gag: 5. 
Time (s): 0.0045
833	gag: 1. 
513	gag: 2. 
89	gag: 3. 
58	gag: 4. 
9	gag: 6. 
4	gag: 7. 
1	gag: 10. 
10	gag: 5. 
Time (s): 0.005
768	gag: 1. 
519	gag: 2. 
90	gag: 3. 
64	gag: 4. 
11	gag: 6. 
5	gag: 7. 
1	gag: 12. 
11	gag: 5. 
Time (s): 0.0055
716	gag: 1. 
517	gag: 2. 
88	gag: 3. 
71	gag: 4. 
14	gag: 5. 
13	gag: 6. 
6	gag: 7. 
1	gag: 12. 
Time (s): 0.006
661	gag: 1. 
507	gag: 2. 
87	gag: 3. 
79	gag: 4. 
18	gag: 5. 
15	gag: 6. 
8	gag: 7. 
1	gag: 12. 
Time (s): 0.0065
617	gag: 1. 
516	gag: 2. 
84	gag: 3. 
18	gag: 6. 
82	gag: 4. 
19	gag: 5. 
8	gag: 7. 
1	gag: 12. 
Time (s): 0.007
588	gag: 1. 
503	gag: 2. 
83	gag: 3. 
19	gag: 6. 
88	gag: 4. 
23	gag: 5. 
8	gag: 7. 
1	gag: 12. 
1	gag: 8. 
Time (s): 0.0075
556	gag: 1. 
496	gag: 2. 
84	gag: 3. 
22	gag: 6. 
90	gag: 4. 
25	gag: 5. 
9	gag: 7. 
1	gag: 12. 
1	gag: 8. 
Time (s): 0.008
516	gag: 1. 
480	gag: 2. 
25	gag: 6. 
20	gag: 5. 
86	gag: 4. 
87	gag: 3. 
12	gag: 7. 
4	gag: 8. 
2	gag: 12. 
1	gag: 11. 
2	gag: 9. 
Time (s): 0.0085
487	gag: 1. 
473	gag: 2. 
90	gag: 4. 
26	gag: 6. 
22	gag: 5. 
86	gag: 3. 
10	gag: 7. 
5	gag: 8. 
2	gag: 12. 
2	gag: 11. 
3	gag: 9. 
Time (s): 0.009
457	gag: 1. 
462	gag: 2. 
28	gag: 6. 
21	gag: 5. 
88	gag: 4. 
90	gag: 3. 
7	gag: 7. 
8	gag: 8. 
3	gag: 12. 
6	gag: 9. 
1	gag: 10. 
1	gag: 11. 
Time (s): 0.0095
429	gag: 1. 
458	gag: 2. 
34	gag: 6. 
17	gag: 5. 
87	gag: 4. 
90	gag: 3. 
7	gag: 7. 
9	gag: 8. 
6	gag: 9. 
1	gag: 17. 
2	gag: 12. 
1	gag: 10. 
2	gag: 11. 
Time (s): 0.01
406	gag: 1. 
453	gag: 2. 
35	gag: 6. 
17	gag: 5. 
86	gag: 4. 
92	gag: 3. 
8	gag: 7. 
9	gag: 8. 
6	gag: 9. 
