Time (s),A(lg1),A(lg2),A(lg3),A(lg4),A(lg5),B(lg1),B(lg2),B(lg3),B(lg4),B(lg5),A(lg1!1).A(lg1!1),A(lg2!1).A(lg2!1),A(lg3!1).A(lg3!1),A(lg4!1).A(lg4!1),A(lg5!1).A(lg5!1),A(lg1!1).A(lg2!1),A(lg1!1).A(lg3!1),A(lg1!1).A(lg4!1),A(lg1!1).A(lg5!1),A(lg2!1).A(lg3!1),A(lg2!1).A(lg4!1),A(lg2!1).A(lg5!1),A(lg3!1).A(lg4!1),A(lg3!1).A(lg5!1),A(lg4!1).A(lg5!1),B(lg1!1).B(lg1!1),B(lg2!1).B(lg2!1),B(lg3!1).B(lg3!1),B(lg4!1).B(lg4!1),B(lg5!1).B(lg5!1),B(lg1!1).B(lg2!1),B(lg1!1).B(lg3!1),B(lg1!1).B(lg4!1),B(lg1!1).B(lg5!1),B(lg2!1).B(lg3!1),B(lg2!1).B(lg4!1),B(lg2!1).B(lg5!1),B(lg3!1).B(lg4!1),B(lg3!1).B(lg5!1),B(lg4!1).B(lg5!1),A(lg1!1).B(lg1!1),A(lg1!1).B(lg2!1),A(lg1!1).B(lg3!1),A(lg1!1).B(lg4!1),A(lg1!1).B(lg5!1),A(lg2!1).B(lg1!1),A(lg2!1).B(lg2!1),A(lg2!1).B(lg3!1),A(lg2!1).B(lg4!1),A(lg2!1).B(lg5!1),A(lg3!1).B(lg1!1),A(lg3!1).B(lg2!1),A(lg3!1).B(lg3!1),A(lg3!1).B(lg4!1),A(lg3!1).B(lg5!1),A(lg4!1).B(lg1!1),A(lg4!1).B(lg2!1),A(lg4!1).B(lg3!1),A(lg4!1).B(lg4!1),A(lg4!1).B(lg5!1),A(lg5!1).B(lg1!1),A(lg5!1).B(lg2!1),A(lg5!1).B(lg3!1),A(lg5!1).B(lg4!1),A(lg5!1).B(lg5!1)
0.016,64,56,52,54,62,53,49,52,50,50,0,3,3,3,0,5,7,4,5,3,8,3,4,6,7,2,5,4,2,2,6,4,8,5,5,8,5,4,8,10,2,4,4,3,2,4,4,3,2,6,4,2,3,7,6,7,2,3,1,4,3,5,6,3,0
0.017,63,56,52,53,62,51,48,51,50,50,0,3,3,3,0,5,7,4,5,3,8,3,4,6,7,2,5,4,2,2,6,5,8,5,5,8,5,4,8,10,3,4,4,3,2,4,4,3,2,6,4,2,3,7,6,7,3,3,1,4,3,5,6,3,0
0.018,59,51,47,49,57,47,42,45,47,48,0,3,3,3,1,5,7,4,7,3,9,4,4,6,7,2,5,4,2,2,6,7,8,6,5,8,5,5,8,10,3,5,5,3,2,4,5,4,3,6,5,4,4,8,6,7,5,3,1,5,3,5,6,3,0
0.019,59,50,47,48,55,46,42,45,46,46,0,3,3,3,1,5,7,4,7,3,9,4,4,6,7,2,5,4,2,2,6,7,8,6,5,8,5,5,8,10,3,5,5,3,2,5,5,4,3,6,5,4,4,8,6,7,5,3,1,6,3,5,6,4,1
0.02,59,49,47,47,55,46,42,44,45,46,0,3,3,3,1,5,7,4,7,3,9,4,4,6,7,2,5,4,2,2,6,7,8,6,5,8,5,5,8,10,3,5,5,3,2,5,5,5,3,6,5,4,4,8,6,7,5,3,2,6,3,5,6,4,1
0.021,58,48,46,47,54,45,41,43,45,45,0,3,3,3,1,5,7,4,8,4,9,4,4,6,7,2,5,4,2,2,6,8,8,6,5,8,6,5,8,10,3,5,5,3,2,5,5,5,3,6,5,4,4,8,6,7,5,3,2,6,3,5,6,4,1
0.022,58,48,46,47,54,45,41,43,45,45,0,3,3,3,1,5,7,4,8,4,9,4,4,6,7,2,5,4,2,2,6,8,8,6,5,8,6,5,8,10,3,5,5,3,2,5,5,5,3,6,5,4,4,8,6,7,5,3,2,6,3,5,6,4,1
0.023,57,46,41,45,51,43,39,40,40,40,0,3,3,3,1,6,7,4,8,5,9,4,4,6,7,2,5,4,2,2,6,8,8,7,5,9,6,5,8,12,3,5,5,3,2,5,5,5,3,6,5,4,5,10,7,8,6,3,2,6,3,5,8,4,2
0.024,57,46,41,45,51,42,39,38,40,39,0,3,3,3,1,6,7,4,8,5,9,4,4,6,7,2,5,4,2,2,6,9,8,7,5,9,6,5,9,12,3,5,5,3,2,5,5,5,3,6,5,4,5,10,7,8,6,3,2,6,3,5,8,4,2
0.025,55,44,38,44,50,41,39,38,40,39,0,3,4,3,1,6,7,4,9,6,10,4,4,6,7,2,5,4,2,2,6,9,8,7,5,9,6,5,9,12,4,5,5,3,2,5,5,5,3,6,5,4,5,10,7,8,6,3,2,6,3,5,8,4,2
