Time (s),A(A1),A(A2),A(A3),A(A1!1).A(A1!1),A(A2!1).A(A2!1),A(A3!1).A(A3!1)
0,200,200,200,0,0,0
0.005,70,56,50,65,72,75
0.01,52,34,38,74,83,81
0.015,42,24,34,79,88,83
0.02,38,20,34,81,90,83
0.025,34,20,30,83,90,85
0.03,30,20,26,85,90,87
0.035,28,22,24,86,89,88
0.04,26,20,22,87,90,89
0.045,26,20,22,87,90,89
0.0499995,24,20,20,88,90,90
