TIME(s)	'A,A'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0
0.005	212	87	19	0	0	0	0	0	128
0.01	238	103	30	0	0	0	0	0	139
0.015	250	111	42	0	0	0	0	0	143
0.02	254	114	47	0	0	0	0	0	146
0.025	258	117	55	0	0	0	0	0	148
0.03	262	120	56	0	0	0	0	0	149
0.035	263	121	59	0	0	0	0	0	151
0.04	266	123	63	0	0	0	0	0	152
0.045	266	123	65	0	0	0	0	0	153
0.0499995	268	124	66	0	0	0	0	0	154
