Time (s),ap2Mem,leg
5.985,163,5
6,165,5
6.015,165,4
6.03,163,4
6.045,161,6
6.06,162,8
6.075,161,4
6.09,162,5
6.105,161,4
6.12,160,6
6.135,161,7
6.15,160,8
6.165,160,9
6.18,161,8
6.195,161,8
6.21,159,9
6.225,162,8
6.24,160,7
6.255,158,8
6.27,157,8
6.285,158,9
6.3,154,8
6.315,156,8
6.33,157,7
6.345,158,7
6.36,161,10
6.375,161,9
6.39,162,9
6.405,161,8
6.42,162,7
6.435,161,8
6.45,161,9
6.465,162,13
6.48,159,11
6.495,161,11
6.51,162,13
6.525,161,12
6.54,161,11
6.555,162,9
6.57,162,7
6.585,163,7
6.6,165,7
6.615,164,8
6.63,163,5
6.645,163,6
6.66,163,8
6.675,163,9
6.69,163,10
6.705,162,7
6.72,161,6
6.735,164,6
6.75,164,5
6.765,164,5
6.78,164,5
6.795,160,5
6.81,158,5
6.825,161,7
6.84,163,10
6.855,161,8
6.87,163,9
6.885,162,9
6.9,161,10
6.915,157,6
6.93,158,9
6.945,157,9
6.96,158,8
6.975,160,9
6.99,160,10
7.005,163,11
7.02,162,10
7.035,160,10
7.05,165,10
7.065,162,7
7.08,163,7
7.095,164,9
7.11,163,9
7.125,162,8
7.14,163,7
7.155,164,5
7.17,163,4
7.185,164,4
7.2,166,6
7.215,165,7
7.23,165,8
7.245,165,6
7.26,166,7
7.275,167,7
7.29,167,7
7.305,167,8
7.32,168,8
7.335,164,7
7.35,158,8
7.365,161,7
7.38,162,7
7.395,160,10
7.41,161,11
7.425,164,11
7.44,160,10
7.455,159,11
7.47,163,11
7.485,163,8
7.5,162,5
7.515,162,5
7.53,162,5
7.545,160,6
7.56,160,5
7.575,160,5
7.59,161,4
7.605,162,4
7.62,163,4
7.635,164,2
7.65,161,2
7.665,162,3
7.68,163,4
7.695,163,6
7.71,164,5
7.725,164,5
7.74,164,6
7.755,165,6
7.77,168,5
7.785,167,7
7.8,165,5
7.815,161,5
7.83,161,3
7.845,161,3
7.86,160,2
7.875,162,3
7.89,165,4
7.905,163,5
7.92,160,4
7.935,161,6
7.95,163,5
7.965,165,5
7.98,162,5
7.995,165,6
8.01,163,8
8.025,164,9
8.04,164,9
8.055,162,11
8.07,163,9
8.085,161,7
8.1,160,8
8.115,160,9
8.13,160,7
8.145,161,6
8.16,163,7
8.175,162,8
8.19,163,4
8.205,166,4
8.22,164,4
8.235,165,4
8.25,162,4
8.265,166,7
8.28,166,8
8.295,166,9
8.31,166,8
8.325,165,7
8.34,166,7
8.355,166,6
8.37,166,8
8.385,164,7
8.4,162,7
8.415,161,6
8.43,161,6
8.445,165,4
8.46,166,4
8.475,162,4
8.49,164,7
8.505,160,8
8.52,161,11
8.535,160,9
8.55,161,8
8.565,163,5
8.58,162,5
8.595,161,6
8.61,158,7
8.625,160,7
8.64,157,9
8.655,156,12
8.67,157,12
8.685,158,11
8.7,158,9
8.715,157,10
8.73,157,7
8.745,157,9
8.76,156,10
8.775,155,9
8.79,157,7
8.805,157,4
8.82,155,6
8.835,154,8
8.85,152,9
8.865,151,9
8.88,151,9
8.895,151,8
8.91,150,8
8.925,151,12
8.94,151,12
8.955,151,11
8.97,151,9
8.985,154,11
9,158,15
9.015,156,14
9.03,156,14
9.045,156,13
9.06,156,10
9.075,156,8
9.09,155,8
9.105,158,12
9.12,161,11
9.135,162,8
9.15,160,10
9.165,161,10
9.18,159,8
9.195,158,8
9.21,161,10
9.225,162,12
9.24,162,11
9.255,164,13
9.27,165,12
9.285,167,15
9.3,166,14
9.315,164,13
9.33,165,14
9.345,162,13
9.36,161,12
9.375,162,11
9.39,163,11
9.405,161,11
9.42,159,13
9.435,158,12
9.45,156,11
9.465,158,12
9.48,156,12
9.495,155,13
9.51,153,12
9.525,155,11
9.54,152,10
9.555,154,9
9.57,155,11
9.585,159,12
9.6,160,9
9.615,159,10
9.63,163,7
9.645,161,7
9.66,158,7
9.675,158,6
9.69,161,7
9.705,165,7
9.72,164,6
9.735,160,8
9.75,157,9
9.765,158,9
9.78,157,6
9.795,160,5
9.81,162,4
9.825,161,5
9.84,163,6
9.855,163,7
9.87,160,9
9.885,159,7
9.9,161,7
9.915,157,6
9.93,155,6
9.945,155,8
9.96,155,7
9.975,155,10
9.99,155,11
10.005,154,11
10.02,154,9
10.035,154,10
10.05,155,10
10.065,156,10
10.08,157,11
10.095,156,11
10.11,156,9
10.125,158,10
10.14,157,9
10.155,159,11
10.17,159,7
10.185,158,3
10.2,158,5
10.215,159,6
10.23,161,6
10.245,160,7
10.26,162,9
10.275,163,13
10.29,163,9
10.305,165,9
10.32,163,6
10.335,163,7
10.35,161,9
10.365,158,7
10.38,159,6
10.395,156,8
10.41,154,10
10.425,156,10
10.44,154,10
10.455,154,10
10.47,153,12
10.485,156,8
10.5,157,9
10.515,153,9
10.53,157,8
10.545,158,9
10.56,158,11
10.575,156,12
10.59,156,9
10.605,155,10
10.62,153,9
10.635,155,8
10.65,159,7
10.665,157,7
10.68,157,8
10.695,157,9
10.71,158,10
10.725,163,8
10.74,164,5
