Time (s),A(lg1),A(lg2),A(lg3),A(lg4),A(lg5),B(lg1),B(lg2),B(lg3),B(lg4),B(lg5),A(lg1!1).A(lg1!1),A(lg2!1).A(lg2!1),A(lg3!1).A(lg3!1),A(lg4!1).A(lg4!1),A(lg5!1).A(lg5!1),A(lg1!1).A(lg2!1),A(lg1!1).A(lg3!1),A(lg1!1).A(lg4!1),A(lg1!1).A(lg5!1),A(lg2!1).A(lg3!1),A(lg2!1).A(lg4!1),A(lg2!1).A(lg5!1),A(lg3!1).A(lg4!1),A(lg3!1).A(lg5!1),A(lg4!1).A(lg5!1),B(lg1!1).B(lg1!1),B(lg2!1).B(lg2!1),B(lg3!1).B(lg3!1),B(lg4!1).B(lg4!1),B(lg5!1).B(lg5!1),B(lg1!1).B(lg2!1),B(lg1!1).B(lg3!1),B(lg1!1).B(lg4!1),B(lg1!1).B(lg5!1),B(lg2!1).B(lg3!1),B(lg2!1).B(lg4!1),B(lg2!1).B(lg5!1),B(lg3!1).B(lg4!1),B(lg3!1).B(lg5!1),B(lg4!1).B(lg5!1),A(lg1!1).B(lg1!1),A(lg1!1).B(lg2!1),A(lg1!1).B(lg3!1),A(lg1!1).B(lg4!1),A(lg1!1).B(lg5!1),A(lg2!1).B(lg1!1),A(lg2!1).B(lg2!1),A(lg2!1).B(lg3!1),A(lg2!1).B(lg4!1),A(lg2!1).B(lg5!1),A(lg3!1).B(lg1!1),A(lg3!1).B(lg2!1),A(lg3!1).B(lg3!1),A(lg3!1).B(lg4!1),A(lg3!1).B(lg5!1),A(lg4!1).B(lg1!1),A(lg4!1).B(lg2!1),A(lg4!1).B(lg3!1),A(lg4!1).B(lg4!1),A(lg4!1).B(lg5!1),A(lg5!1).B(lg1!1),A(lg5!1).B(lg2!1),A(lg5!1).B(lg3!1),A(lg5!1).B(lg4!1),A(lg5!1).B(lg5!1)
0.016,59,70,62,58,66,47,52,56,61,59,4,1,1,3,3,5,4,8,6,3,4,3,2,4,3,5,0,3,2,5,9,6,8,7,7,4,5,5,3,5,1,1,4,2,2,1,6,3,2,1,3,7,5,4,4,4,6,3,3,3,4,3,2,2,1
0.017,57,69,61,58,65,47,51,56,60,58,4,1,1,3,3,5,5,8,7,3,4,3,2,4,3,5,0,3,2,5,9,6,8,7,7,4,6,5,3,5,1,1,4,2,2,1,6,3,3,1,3,7,5,4,4,4,6,3,3,3,4,3,2,2,1
0.018,52,66,59,57,62,46,50,56,60,56,6,1,1,3,3,5,5,8,7,3,4,5,2,5,3,5,0,3,2,5,9,6,8,7,7,4,6,5,3,5,1,2,4,2,2,1,6,3,3,2,3,7,5,4,5,5,6,3,3,3,4,3,2,2,1
0.019,50,65,59,56,60,45,49,55,59,56,6,1,1,3,3,5,5,8,8,3,4,6,2,5,3,5,0,3,2,5,9,6,9,7,7,4,6,5,3,5,1,3,4,2,2,1,6,3,3,2,3,7,5,4,5,5,6,4,3,3,4,3,2,2,1
0.02,48,64,55,52,55,43,46,52,57,56,6,1,2,3,3,5,5,8,9,3,4,7,2,6,4,5,0,3,2,5,10,7,9,7,7,4,6,5,3,5,1,3,5,2,2,1,6,3,3,2,3,8,5,4,5,5,7,5,4,3,4,3,2,3,1
0.021,46,63,55,50,53,43,45,52,56,53,6,1,2,3,3,5,5,8,9,3,4,8,2,6,5,5,0,3,2,5,10,7,9,7,7,4,7,5,3,5,1,3,5,3,3,1,6,3,3,2,3,8,5,4,5,5,7,5,4,4,4,3,2,3,1
0.022,45,63,55,50,53,43,43,52,56,52,6,1,2,3,3,5,5,8,9,3,4,8,2,6,5,5,0,3,2,5,10,7,9,7,7,4,8,5,3,5,1,4,5,3,3,1,6,3,3,2,3,8,5,4,5,5,7,5,4,4,4,3,2,3,1
0.023,45,63,54,49,53,44,43,53,56,52,6,1,2,3,3,5,5,8,9,3,4,8,3,6,5,5,0,3,2,5,10,6,9,7,7,4,8,5,3,5,1,4,5,3,3,1,6,3,3,2,3,8,5,4,5,5,7,5,4,4,4,3,2,3,1
0.024,46,63,54,47,53,44,44,52,56,51,6,1,2,3,3,5,5,8,9,3,4,8,3,6,5,5,0,3,2,5,10,6,9,7,7,4,8,5,3,5,1,3,5,3,3,1,6,3,3,2,3,8,5,4,5,5,7,6,4,5,4,3,2,3,1
0.025,45,63,54,47,53,44,43,51,56,50,6,1,2,3,3,5,5,8,9,3,4,8,3,6,5,5,0,3,2,5,10,6,9,7,8,4,8,5,3,5,1,3,5,3,4,1,6,3,3,2,3,8,5,4,5,5,7,6,4,5,4,3,2,3,1
0.026,43,61,52,43,51,42,42,50,55,49,7,1,3,4,3,5,5,8,9,3,5,8,3,6,5,5,0,3,2,5,10,6,10,7,8,4,8,5,3,5,1,3,5,3,4,2,6,3,3,2,3,8,5,4,5,5,7,7,4,5,4,4,2,3,2
0.027,42,57,45,37,51,40,39,46,50,45,7,3,4,4,3,5,5,9,9,3,5,8,6,6,5,5,0,3,3,5,11,6,11,7,9,4,9,5,4,6,1,3,5,3,4,2,6,3,3,2,3,8,7,4,5,5,7,7,5,6,4,4,2,3,2
0.028,38,54,45,35,48,38,38,43,46,43,7,3,4,4,3,5,5,10,9,3,5,9,6,6,5,5,0,3,3,5,11,6,11,8,9,4,9,5,5,6,2,3,6,4,4,2,6,3,5,2,3,8,7,4,5,5,7,7,6,6,4,5,3,3,2
0.029,35,54,45,35,46,34,38,42,45,40,7,3,4,4,3,5,5,11,11,3,5,9,6,6,5,6,0,3,3,6,12,7,11,8,9,4,9,5,5,7,2,3,6,4,4,2,6,3,5,2,3,8,7,4,5,5,6,7,6,6,4,5,3,3,2
0.03,33,50,41,31,43,34,38,42,43,39,7,3,4,4,3,6,5,12,11,4,6,10,7,7,6,6,0,3,4,6,12,7,11,8,9,4,9,5,5,7,2,3,6,4,4,2,6,3,5,2,3,8,7,4,6,5,6,7,6,6,4,5,3,3,2
0.031,33,50,41,31,43,34,38,42,43,39,7,3,4,4,3,6,5,12,11,4,6,10,7,7,6,6,0,3,4,6,12,7,11,8,9,4,9,5,5,7,2,3,6,4,4,2,6,3,5,2,3,8,7,4,6,5,6,7,6,6,4,5,3,3,2
0.032,31,47,39,30,42,33,37,41,43,37,7,3,4,4,3,6,6,12,11,5,6,11,7,7,6,6,0,3,4,6,12,7,11,8,9,4,10,5,5,7,3,3,6,4,4,2,6,4,5,2,3,8,7,4,6,5,6,7,6,7,4,5,3,3,2
0.033,31,47,39,30,42,33,37,41,43,37,7,3,4,4,3,6,6,12,11,5,6,11,7,7,6,6,0,3,4,6,12,7,11,8,9,4,10,5,5,7,3,3,6,4,4,2,6,4,5,2,3,8,7,4,6,5,6,7,6,7,4,5,3,3,2
0.034,28,44,37,29,38,32,35,40,40,35,7,3,4,4,3,6,6,12,13,6,6,11,8,7,6,6,0,3,5,7,12,7,11,8,9,4,10,5,5,7,3,4,6,4,4,2,7,5,5,2,3,8,7,4,6,5,6,7,6,7,5,5,3,4,2
0.035,26,42,35,27,37,31,35,40,38,35,7,3,4,4,3,6,6,13,14,7,6,11,9,7,6,6,0,3,5,7,12,7,12,8,9,4,10,5,5,7,3,4,6,4,4,2,7,5,6,2,3,8,7,4,6,5,6,7,6,7,5,5,3,4,2
0.036,25,41,35,26,36,30,34,39,36,34,7,3,4,4,3,6,6,13,14,7,6,11,9,7,6,6,0,3,5,7,12,7,13,8,9,4,10,5,5,7,3,5,6,4,4,2,7,6,6,2,3,8,7,4,6,5,6,7,7,7,5,5,3,4,3
0.037,23,40,34,24,33,28,34,39,34,33,7,3,4,4,4,6,6,13,15,7,7,11,9,7,6,6,0,3,5,7,12,7,14,8,9,4,10,5,5,7,3,5,6,4,5,2,7,6,6,2,3,8,7,5,6,6,6,7,7,7,5,5,3,4,3
0.038,23,40,34,24,33,28,34,39,34,33,7,3,4,4,4,6,6,13,15,7,7,11,9,7,6,6,0,3,5,7,12,7,14,8,9,4,10,5,5,7,3,5,6,4,5,2,7,6,6,2,3,8,7,5,6,6,6,7,7,7,5,5,3,4,3
0.039,21,38,32,23,32,27,34,37,32,32,7,3,5,4,4,7,6,13,15,7,8,11,9,7,6,6,0,3,5,7,12,7,15,8,9,4,10,6,5,7,3,5,7,4,5,2,7,6,6,2,3,8,7,5,6,6,6,7,7,7,5,5,3,4,4
0.04,21,38,32,23,32,27,34,37,32,32,7,3,5,4,4,7,6,13,15,7,8,11,9,7,6,6,0,3,5,7,12,7,15,8,9,4,10,6,5,7,3,5,7,4,5,2,7,6,6,2,3,8,7,5,6,6,6,7,7,7,5,5,3,4,4
