TIME(s)	'A,A'	'A,B'	'B,B'	Nloops	nOverlapPartner	nOverlapSystem	nOverlapSpanBox	nDisplace2D	nDisplace3D	nDisplace3Dto2D	nAssocSuccess
0	0	0	0	0	0	0	0	0	0	0	0
0.001	3	3	4	0	1	0	0	0	0	0	10
0.002	6	5	9	2	1	0	0	0	0	0	19
0.003	9	11	17	9	2	0	0	0	0	0	29
0.004	12	13	24	13	2	1	0	0	0	0	38
0.005	18	16	25	13	2	1	0	0	0	0	48
0.006	28	21	26	18	2	1	0	0	0	0	59
0.007	32	23	33	21	2	1	0	0	0	0	69
0.008	43	27	35	28	2	1	0	0	0	0	79
0.009	46	33	41	35	2	1	0	0	0	0	87
0.01	55	40	44	45	2	1	0	0	0	0	96
0.011	58	52	46	56	2	1	0	0	0	0	102
0.012	58	61	48	61	3	1	0	0	0	0	108
0.013	58	65	56	68	6	1	0	0	0	0	113
0.014	59	68	62	74	7	1	0	0	0	0	117
0.015	60	77	66	81	8	1	0	0	0	0	124
0.016	68	81	69	90	8	1	0	0	0	0	130
0.017	69	82	71	92	8	1	0	0	0	0	132
0.018	73	86	71	97	9	2	0	0	0	0	135
0.019	73	92	75	104	11	2	0	0	0	0	138
0.02	73	92	75	104	14	2	0	0	0	0	138
0.021	73	92	75	104	14	2	0	0	0	0	138
0.022	75	95	79	109	15	2	0	0	0	0	142
0.023	75	99	81	112	17	2	0	0	0	0	145
0.024	77	99	81	113	17	2	0	0	0	0	146
0.025	82	101	81	118	21	2	0	0	0	0	148
0.026	85	106	81	122	23	2	0	0	0	0	152
0.027	85	106	85	125	26	2	0	0	0	0	153
0.028	86	110	91	133	26	2	0	0	0	0	156
0.029	86	110	91	133	30	2	0	0	0	0	156
0.03	89	110	91	135	35	2	0	0	0	0	157
0.031	91	114	95	143	37	2	0	0	0	0	159
0.032	91	115	96	144	38	2	0	0	0	0	160
0.033	91	115	96	144	38	2	0	0	0	0	160
0.034	91	115	96	144	40	2	0	0	0	0	160
0.035	91	117	96	145	41	2	0	0	0	0	161
