Time (s),leg
0,0
0.001,10
0.002,20
0.003,37
0.004,49
0.005,59
0.006,75
0.007,88
0.008,105
0.009,120
0.01,139
0.011,156
0.012,167
0.013,179
0.014,189
0.015,203
0.016,218
0.017,222
0.018,230
0.019,240
0.02,240
0.021,240
0.022,249
0.023,255
0.024,257
0.025,264
0.026,272
0.027,276
0.028,287
0.029,287
0.03,290
0.031,300
0.032,302
0.033,302
0.034,302
0.035,304
0.036,308
0.037,311
0.038,311
0.039,311
0.04,316
0.041,320
0.042,320
0.043,322
0.044,322
0.045,322
0.046,329
0.047,334
0.048,333
0.049,333
0.05,333
0.051,339
0.052,342
0.053,342
0.054,342
0.055,342
0.056,342
0.057,342
0.058,342
0.059,342
0.06,342
0.061,342
0.062,346
0.063,346
0.064,346
0.065,346
0.066,346
0.067,346
0.068,346
0.069,346
0.07,348
0.071,348
0.072,348
0.073,348
0.074,348
0.075,348
0.076,348
0.077,348
0.078,348
0.079,348
0.08,352
0.081,352
0.082,352
0.083,352
0.084,352
0.085,354
0.086,354
0.087,354
0.088,354
0.089,354
0.09,354
0.091,354
0.092,354
0.093,354
0.094,354
0.095,354
0.096,356
0.097,356
0.098,356
0.099,356
0.1,356
0.101,356
0.102,356
0.103,356
0.104,356
0.105,356
0.106,356
0.107,356
0.108,356
0.109,356
0.11,356
0.111,356
0.112,356
0.113,356
0.114,356
0.115,356
0.116,356
0.117,356
0.118,356
0.119,358
0.12,358
0.121,358
0.122,358
0.123,358
0.124,358
0.125,358
0.126,358
0.127,358
0.128,358
0.129,358
0.13,358
0.131,358
0.132,358
0.133,358
0.134,358
0.135,358
0.136,358
0.137,358
0.138,358
0.139,358
0.14,358
0.141,358
0.142,358
0.143,358
0.144,358
0.145,358
0.146,358
0.147,358
0.148,358
0.149,358
0.15,358
0.151,358
0.152,358
0.153,358
0.154,358
0.155,358
0.156,358
0.157,358
0.158,358
0.159,358
0.16,358
0.161,358
0.162,358
0.163,358
0.164,358
0.165,358
0.166,358
0.167,358
0.168,358
0.169,358
0.17,358
0.171,358
0.172,358
0.173,358
0.174,358
0.175,358
0.176,358
0.177,358
0.178,358
0.179,358
0.18,358
0.181,358
0.182,358
0.183,358
0.184,358
0.185,358
0.186,358
0.187,358
0.188,358
0.189,358
0.19,358
0.191,358
0.192,358
0.193,358
0.194,358
0.195,358
0.196,358
0.197,358
0.198,358
0.199,358
0.2,358
0.201,358
0.202,358
0.203,358
0.204,358
0.205,358
0.206,358
0.207,358
0.208,358
0.209,358
0.21,358
0.211,358
0.212,358
0.213,358
0.214,358
0.215,358
0.216,358
0.217,358
0.218,357
0.219,357
0.22,357
0.221,357
0.222,357
0.223,357
0.224,357
0.225,357
0.226,357
0.227,359
0.228,359
0.229,359
0.23,359
0.231,359
0.232,359
0.233,359
0.234,359
0.235,359
0.236,359
0.237,359
0.238,359
0.239,359
0.24,359
0.241,359
0.242,359
0.243,359
0.244,359
0.245,359
0.246,359
0.247,359
0.248,359
0.249,358
0.25,359
0.251,359
0.252,359
0.253,359
0.254,359
0.255,359
0.256,359
0.257,359
0.258,359
0.259,359
0.26,359
0.261,359
0.262,359
0.263,358
0.264,358
0.265,358
0.266,358
0.267,358
0.268,358
0.269,358
0.27,358
0.271,358
0.272,358
0.273,358
0.274,358
0.275,358
0.276,358
0.277,358
0.278,358
0.279,358
0.28,358
0.281,358
0.282,358
0.283,358
0.284,358
0.285,358
0.286,358
0.287,358
0.288,369
0.289,369
0.29,369
0.291,369
0.292,369
0.293,369
0.294,369
0.295,369
0.296,369
0.297,369
0.298,369
0.299,369
0.3,369
0.301,369
0.302,369
0.303,369
0.304,369
0.305,369
0.306,369
0.307,369
0.308,369
0.309,369
0.31,369
0.311,369
0.312,369
0.313,369
0.314,369
0.315,369
0.316,369
0.317,369
0.318,369
0.319,369
0.32,369
0.321,369
0.322,369
0.323,369
0.324,369
0.325,369
0.326,369
0.327,369
0.328,369
0.329,369
0.33,369
0.331,369
0.332,369
0.333,369
0.334,369
0.335,369
0.336,369
0.337,369
0.338,369
0.339,369
0.34,369
0.341,369
0.342,369
0.343,369
0.344,369
0.345,369
0.346,369
0.347,369
0.348,372
0.349,371
0.35,374
0.351,374
0.352,374
0.353,373
0.354,373
0.355,373
0.356,373
0.357,373
0.358,373
0.359,373
0.36,373
0.361,373
0.362,373
0.363,373
0.364,373
0.365,373
0.366,373
0.367,373
0.368,373
0.369,373
0.37,373
0.371,373
0.372,373
0.373,373
0.374,373
0.375,373
0.376,373
0.377,373
0.378,373
0.379,373
0.38,373
0.381,373
0.382,373
0.383,373
0.384,373
0.385,373
0.386,373
0.387,373
0.388,373
0.389,373
0.39,373
0.391,373
0.392,373
0.393,373
0.394,373
0.395,373
0.396,373
0.397,373
0.398,373
0.399,373
0.4,373
0.401,373
0.402,373
0.403,373
0.404,373
0.405,373
0.406,373
0.407,373
0.408,373
0.409,373
0.41,373
0.411,373
0.412,373
0.413,373
0.414,373
0.415,373
0.416,373
0.417,373
0.418,373
0.419,373
0.42,373
0.421,373
0.422,373
0.423,373
0.424,373
0.425,373
0.426,373
0.427,373
0.428,373
0.429,373
0.43,373
0.431,373
0.432,373
0.433,373
0.434,373
0.435,379
0.436,379
0.437,379
0.438,379
0.439,379
0.44,379
0.441,379
0.442,379
0.443,379
0.444,379
0.445,379
0.446,379
0.447,379
0.448,379
0.449,379
0.45,379
0.451,379
0.452,379
0.453,379
0.454,379
0.455,379
0.456,379
0.457,379
0.458,379
0.459,379
0.46,379
0.461,379
0.462,379
0.463,379
0.464,379
0.465,379
0.466,379
0.467,379
0.468,379
0.469,379
0.47,379
0.471,379
0.472,379
0.473,379
0.474,379
0.475,379
0.476,379
0.477,379
0.478,379
0.479,379
0.48,379
0.481,379
0.482,379
0.483,379
0.484,387
0.485,387
0.486,387
0.487,387
0.488,387
0.489,387
0.49,387
0.491,387
0.492,387
0.493,387
0.494,387
0.495,387
0.496,387
0.497,387
0.498,387
0.499,387
0.5,387
0.501,387
0.502,387
0.503,387
0.504,387
0.505,387
0.506,387
0.507,387
0.508,387
0.509,387
0.51,387
0.511,387
0.512,387
0.513,387
0.514,387
0.515,387
0.516,387
0.517,387
0.518,387
0.519,387
0.52,387
0.521,387
0.522,387
0.523,387
0.524,387
0.525,387
0.526,387
0.527,387
0.528,387
0.529,387
0.53,387
0.531,387
0.532,387
0.533,387
0.534,387
0.535,387
0.536,387
0.537,387
0.538,387
0.539,387
0.54,387
0.541,387
0.542,387
0.543,387
0.544,387
0.545,387
0.546,387
0.547,387
0.548,387
0.549,387
0.55,387
0.551,387
0.552,387
0.553,387
0.554,387
0.555,387
0.556,387
0.557,387
0.558,387
0.559,387
0.56,387
0.561,387
0.562,387
0.563,387
0.564,387
0.565,387
0.566,387
0.567,387
0.568,387
0.569,387
0.57,387
0.571,387
0.572,387
0.573,387
0.574,387
0.575,387
0.576,387
0.577,387
0.578,387
0.579,387
0.58,387
0.581,386
0.582,387
0.583,387
0.584,387
0.585,387
0.586,387
0.587,387
0.588,386
0.589,387
0.59,387
0.591,387
0.592,387
0.593,387
0.594,387
0.595,387
0.596,387
0.597,387
0.598,387
0.599,387
0.6,387
0.601,387
0.602,387
0.603,387
0.604,387
0.605,387
0.606,387
0.607,387
0.608,387
0.609,387
0.61,387
0.611,387
0.612,387
0.613,387
0.614,387
0.615,387
0.616,387
0.617,387
0.618,387
0.619,387
0.62,387
0.621,387
0.622,387
0.623,387
0.624,387
0.625,387
0.626,387
0.627,387
0.628,387
0.629,387
0.63,387
0.631,387
0.632,387
0.633,387
0.634,387
0.635,387
0.636,387
0.637,387
0.638,387
0.639,387
0.64,387
0.641,387
0.642,387
0.643,387
0.644,387
0.645,387
0.646,387
0.647,387
0.648,387
0.649,387
0.65,387
0.651,387
0.652,387
0.653,387
0.654,387
0.655,387
0.656,387
0.657,387
0.658,387
0.659,387
0.66,387
0.661,387
0.662,387
0.663,387
0.664,387
0.665,387
0.666,387
0.667,387
0.668,387
0.669,387
0.67,387
0.671,387
0.672,387
0.673,387
0.674,387
0.675,387
0.676,387
0.677,387
0.678,387
0.679,387
0.68,387
0.681,387
0.682,387
0.683,387
0.684,387
0.685,387
0.686,387
0.687,387
0.688,387
0.689,387
0.69,387
0.691,387
0.692,387
0.693,387
0.694,387
0.695,387
0.696,387
0.697,387
0.698,387
0.699,387
0.7,387
0.701,387
0.702,387
0.703,387
0.704,387
0.705,387
0.706,387
0.707,387
0.708,387
0.709,387
0.71,387
0.711,387
0.712,387
0.713,387
0.714,387
0.715,387
0.716,387
0.717,387
0.718,387
0.719,387
0.72,387
0.721,387
0.722,387
0.723,387
0.724,387
0.725,387
0.726,387
0.727,387
0.728,387
0.729,387
0.73,387
0.731,387
0.732,387
0.733,387
0.734,387
0.735,387
0.736,387
0.737,387
0.738,387
0.739,387
0.74,387
0.741,387
0.742,387
0.743,387
0.744,387
0.745,387
0.746,387
0.747,387
0.748,387
0.749,387
0.75,387
0.751,387
0.752,387
0.753,387
0.754,387
0.755,387
0.756,387
0.757,387
0.758,387
0.759,387
0.76,387
0.761,387
0.762,387
0.763,387
0.764,387
0.765,387
0.766,387
0.767,387
0.768,387
0.769,387
0.77,387
0.771,387
0.772,387
0.773,387
0.774,387
0.775,387
0.776,387
0.777,387
0.778,387
0.779,387
0.78,387
0.781,387
0.782,387
0.783,387
0.784,387
0.785,387
0.786,387
0.787,387
0.788,387
0.789,387
0.79,387
0.791,387
0.792,387
0.793,387
0.794,387
0.795,387
0.796,387
0.797,387
0.798,387
0.799,387
0.8,387
0.801,387
0.802,387
0.803,387
0.804,387
0.805,387
0.806,387
0.807,387
0.808,387
0.809,387
0.81,387
0.811,387
0.812,387
0.813,387
0.814,387
0.815,387
0.816,387
0.817,387
0.818,387
0.819,387
0.82,387
0.821,387
0.822,387
0.823,387
0.824,387
0.825,387
0.826,387
0.827,387
0.828,387
0.829,387
0.83,387
0.831,387
0.832,387
0.833,387
0.834,387
0.835,387
0.836,387
0.837,387
0.838,387
0.839,387
0.84,387
0.841,387
0.842,387
0.843,387
0.844,387
0.845,387
0.846,387
0.847,387
0.848,387
0.849,387
0.85,387
0.851,387
0.852,387
0.853,387
0.854,387
0.855,387
0.856,387
0.857,387
0.858,387
0.859,387
0.86,387
0.861,387
0.862,387
0.863,387
0.864,387
0.865,387
0.866,387
0.867,387
0.868,387
0.869,387
0.87,387
0.871,387
0.872,387
0.873,387
0.874,387
0.875,387
0.876,387
0.877,387
0.878,387
0.879,387
0.88,387
0.881,387
0.882,387
0.883,387
0.884,387
0.885,387
0.886,387
0.887,387
0.888,387
0.889,387
0.89,387
0.891,387
0.892,387
0.893,387
0.894,387
0.895,387
0.896,387
0.897,387
0.898,387
0.899,387
0.9,387
0.901,387
0.902,387
0.903,387
0.904,387
0.905,387
0.906,387
0.907,387
0.908,387
0.909,387
0.91,387
0.911,387
0.912,387
0.913,387
0.914,387
0.915,387
0.916,387
0.917,387
0.918,387
0.919,387
0.92,387
0.921,387
0.922,387
0.923,387
0.924,387
0.925,387
0.926,387
0.927,387
0.928,387
0.929,387
0.93,387
0.931,387
0.932,387
0.933,387
0.934,387
0.935,387
0.936,387
0.937,387
0.938,387
0.939,387
0.94,387
0.941,387
0.942,387
0.943,387
0.944,387
0.945,387
0.946,387
0.947,387
0.948,387
0.949,387
0.95,387
0.951,387
0.952,387
0.953,387
0.954,387
0.955,387
0.956,387
0.957,387
0.958,387
0.959,387
0.96,387
0.961,387
0.962,387
0.963,387
0.964,387
0.965,387
0.966,387
0.967,387
0.968,387
0.969,387
0.97,387
0.971,387
0.972,387
0.973,387
0.974,387
0.975,387
0.976,387
0.977,387
0.978,387
0.979,387
0.98,387
0.981,387
0.982,387
0.983,387
0.984,387
0.985,387
0.986,387
0.987,387
0.988,387
0.989,387
0.99,387
0.991,387
0.992,387
0.993,387
0.994,387
0.995,387
0.996,387
0.997,387
0.998,387
0.999,387
1,387
