Time (s),A(lg1),A(lg2),A(lg3),A(lg4),A(lg5),B(lg1),B(lg2),B(lg3),B(lg4),B(lg5),A(lg1!1).A(lg1!1),A(lg2!1).A(lg2!1),A(lg3!1).A(lg3!1),A(lg4!1).A(lg4!1),A(lg5!1).A(lg5!1),A(lg1!1).A(lg2!1),A(lg1!1).A(lg3!1),A(lg1!1).A(lg4!1),A(lg1!1).A(lg5!1),A(lg2!1).A(lg3!1),A(lg2!1).A(lg4!1),A(lg2!1).A(lg5!1),A(lg3!1).A(lg4!1),A(lg3!1).A(lg5!1),A(lg4!1).A(lg5!1),B(lg1!1).B(lg1!1),B(lg2!1).B(lg2!1),B(lg3!1).B(lg3!1),B(lg4!1).B(lg4!1),B(lg5!1).B(lg5!1),B(lg1!1).B(lg2!1),B(lg1!1).B(lg3!1),B(lg1!1).B(lg4!1),B(lg1!1).B(lg5!1),B(lg2!1).B(lg3!1),B(lg2!1).B(lg4!1),B(lg2!1).B(lg5!1),B(lg3!1).B(lg4!1),B(lg3!1).B(lg5!1),B(lg4!1).B(lg5!1),A(lg1!1).B(lg1!1),A(lg1!1).B(lg2!1),A(lg1!1).B(lg3!1),A(lg1!1).B(lg4!1),A(lg1!1).B(lg5!1),A(lg2!1).B(lg1!1),A(lg2!1).B(lg2!1),A(lg2!1).B(lg3!1),A(lg2!1).B(lg4!1),A(lg2!1).B(lg5!1),A(lg3!1).B(lg1!1),A(lg3!1).B(lg2!1),A(lg3!1).B(lg3!1),A(lg3!1).B(lg4!1),A(lg3!1).B(lg5!1),A(lg4!1).B(lg1!1),A(lg4!1).B(lg2!1),A(lg4!1).B(lg3!1),A(lg4!1).B(lg4!1),A(lg4!1).B(lg5!1),A(lg5!1).B(lg1!1),A(lg5!1).B(lg2!1),A(lg5!1).B(lg3!1),A(lg5!1).B(lg4!1),A(lg5!1).B(lg5!1)
0,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,99,100,98,99,95,98,97,99,98,97,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
0.002,97,98,99,97,92,95,93,97,96,96,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1
0.003,93,95,98,94,91,90,88,93,90,94,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,4,3,0,0,0,2,2,1,1,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,1,1,1,1
0.004,93,94,95,92,89,87,85,90,88,89,1,0,0,0,1,1,1,1,1,1,2,1,1,0,1,0,1,0,1,1,5,5,0,0,0,3,3,1,2,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,3,0,0,0,0,0,1,1,3,1
0.005,89,89,91,90,89,87,85,89,87,86,1,0,0,0,1,3,2,2,1,3,2,1,1,0,1,0,1,0,1,1,5,5,0,0,0,3,3,1,3,2,0,0,0,1,0,0,0,1,1,0,0,1,0,0,2,3,0,0,0,1,0,1,1,3,1
0.006,87,85,84,83,84,87,84,88,83,85,1,1,1,1,1,3,3,2,2,3,2,1,3,2,2,0,1,0,2,1,5,5,0,0,0,3,3,1,3,2,0,0,0,1,0,0,1,1,1,1,0,1,0,0,2,3,0,0,2,1,0,1,2,3,1
0.007,84,83,83,80,83,85,82,85,80,79,1,1,1,1,1,3,4,3,2,3,3,2,3,2,2,0,1,0,2,1,6,5,1,0,0,3,4,2,5,3,0,0,0,1,1,0,1,1,1,1,0,1,0,0,2,3,0,0,2,2,0,1,2,3,1
0.008,79,81,77,73,77,83,80,84,78,78,1,1,1,3,2,4,5,3,4,4,3,2,4,3,3,0,1,0,2,1,7,5,1,0,0,3,5,2,5,3,0,0,1,1,1,0,1,1,1,1,1,1,0,1,2,3,0,0,3,2,0,1,2,3,1
0.009,76,80,75,72,72,77,76,82,77,73,1,1,1,3,2,5,6,3,5,4,3,2,4,3,3,1,1,0,2,1,7,5,1,2,1,3,6,2,6,3,0,0,1,1,1,0,1,1,1,1,1,1,0,2,2,3,1,0,3,2,2,2,2,3,2
0.01,70,73,70,68,69,73,76,80,74,69,1,2,1,3,2,6,8,3,5,6,4,2,5,3,4,1,1,0,2,1,7,6,1,2,1,3,6,3,6,4,0,0,1,2,3,1,1,1,1,1,1,1,0,2,2,3,1,0,3,3,4,2,2,3,2
