Time (s): 0
82	B: 1. 
118	B: 1. IL: 1. 
Time (s): 0.00144
380	IL: 1. 
80	B: 1. 
120	B: 1. IL: 1. 
Time (s): 0.00146
379	IL: 1. 
79	B: 1. 
121	B: 1. IL: 1. 
Time (s): 0.00148
379	IL: 1. 
79	B: 1. 
121	B: 1. IL: 1. 
Time (s): 0.0015
376	IL: 1. 
76	B: 1. 
124	B: 1. IL: 1. 
Time (s): 0.00152
375	IL: 1. 
75	B: 1. 
125	B: 1. IL: 1. 
Time (s): 0.00154
375	IL: 1. 
75	B: 1. 
125	B: 1. IL: 1. 
Time (s): 0.00156
373	IL: 1. 
73	B: 1. 
127	B: 1. IL: 1. 
Time (s): 0.00158
372	IL: 1. 
72	B: 1. 
128	B: 1. IL: 1. 
Time (s): 0.0016
373	IL: 1. 
73	B: 1. 
127	B: 1. IL: 1. 
Time (s): 0.00162
371	IL: 1. 
129	B: 1. IL: 1. 
71	B: 1. 
Time (s): 0.00164
373	IL: 1. 
127	B: 1. IL: 1. 
73	B: 1. 
Time (s): 0.00166
371	IL: 1. 
129	B: 1. IL: 1. 
71	B: 1. 
Time (s): 0.00168
371	IL: 1. 
129	B: 1. IL: 1. 
71	B: 1. 
Time (s): 0.0017
369	IL: 1. 
131	B: 1. IL: 1. 
69	B: 1. 
Time (s): 0.00172
370	IL: 1. 
130	B: 1. IL: 1. 
70	B: 1. 
Time (s): 0.00174
368	IL: 1. 
132	B: 1. IL: 1. 
68	B: 1. 
Time (s): 0.00176
368	IL: 1. 
132	B: 1. IL: 1. 
68	B: 1. 
Time (s): 0.00178
368	IL: 1. 
132	B: 1. IL: 1. 
68	B: 1. 
Time (s): 0.0018
371	IL: 1. 
129	B: 1. IL: 1. 
71	B: 1. 
Time (s): 0.00182
370	IL: 1. 
130	B: 1. IL: 1. 
70	B: 1. 
Time (s): 0.00184
369	IL: 1. 
131	B: 1. IL: 1. 
69	B: 1. 
Time (s): 0.00186
368	IL: 1. 
132	B: 1. IL: 1. 
68	B: 1. 
Time (s): 0.00188
368	IL: 1. 
132	B: 1. IL: 1. 
68	B: 1. 
Time (s): 0.0019
369	IL: 1. 
131	B: 1. IL: 1. 
69	B: 1. 
Time (s): 0.00192
368	IL: 1. 
132	B: 1. IL: 1. 
68	B: 1. 
Time (s): 0.00194
366	IL: 1. 
134	B: 1. IL: 1. 
66	B: 1. 
Time (s): 0.00196
366	IL: 1. 
134	B: 1. IL: 1. 
66	B: 1. 
Time (s): 0.00198
367	IL: 1. 
133	B: 1. IL: 1. 
67	B: 1. 
Time (s): 0.002
367	IL: 1. 
133	B: 1. IL: 1. 
67	B: 1. 
Time (s): 0.00202
367	IL: 1. 
133	B: 1. IL: 1. 
67	B: 1. 
Time (s): 0.00204
366	IL: 1. 
134	B: 1. IL: 1. 
66	B: 1. 
Time (s): 0.00206
364	IL: 1. 
136	B: 1. IL: 1. 
64	B: 1. 
Time (s): 0.00208
364	IL: 1. 
136	B: 1. IL: 1. 
64	B: 1. 
Time (s): 0.0021
366	IL: 1. 
134	B: 1. IL: 1. 
66	B: 1. 
Time (s): 0.00212
365	IL: 1. 
135	B: 1. IL: 1. 
65	B: 1. 
Time (s): 0.00214
363	IL: 1. 
137	B: 1. IL: 1. 
63	B: 1. 
Time (s): 0.00216
364	IL: 1. 
136	B: 1. IL: 1. 
64	B: 1. 
Time (s): 0.00218
363	IL: 1. 
137	B: 1. IL: 1. 
63	B: 1. 
Time (s): 0.0022
367	IL: 1. 
133	B: 1. IL: 1. 
67	B: 1. 
Time (s): 0.00222
369	IL: 1. 
131	B: 1. IL: 1. 
69	B: 1. 
Time (s): 0.00224
368	IL: 1. 
68	B: 1. 
132	B: 1. IL: 1. 
Time (s): 0.00226
367	IL: 1. 
67	B: 1. 
133	B: 1. IL: 1. 
Time (s): 0.00228
367	IL: 1. 
67	B: 1. 
133	B: 1. IL: 1. 
Time (s): 0.0023
365	IL: 1. 
135	B: 1. IL: 1. 
65	B: 1. 
Time (s): 0.00232
366	IL: 1. 
134	B: 1. IL: 1. 
66	B: 1. 
Time (s): 0.00234
364	IL: 1. 
136	B: 1. IL: 1. 
64	B: 1. 
Time (s): 0.00236
362	IL: 1. 
138	B: 1. IL: 1. 
62	B: 1. 
Time (s): 0.00238
363	IL: 1. 
137	B: 1. IL: 1. 
63	B: 1. 
Time (s): 0.0024
364	IL: 1. 
136	B: 1. IL: 1. 
64	B: 1. 
Time (s): 0.00242
364	IL: 1. 
136	B: 1. IL: 1. 
64	B: 1. 
Time (s): 0.00244
362	IL: 1. 
138	B: 1. IL: 1. 
62	B: 1. 
Time (s): 0.00246
365	IL: 1. 
135	B: 1. IL: 1. 
65	B: 1. 
Time (s): 0.00248
367	IL: 1. 
133	B: 1. IL: 1. 
67	B: 1. 
Time (s): 0.0025
363	IL: 1. 
137	B: 1. IL: 1. 
63	B: 1. 
Time (s): 0.00252
367	IL: 1. 
133	B: 1. IL: 1. 
67	B: 1. 
Time (s): 0.00254
364	IL: 1. 
136	B: 1. IL: 1. 
64	B: 1. 
Time (s): 0.00256
362	IL: 1. 
138	B: 1. IL: 1. 
62	B: 1. 
Time (s): 0.00258
363	IL: 1. 
137	B: 1. IL: 1. 
63	B: 1. 
Time (s): 0.0026
362	IL: 1. 
138	B: 1. IL: 1. 
62	B: 1. 
Time (s): 0.00262
363	IL: 1. 
137	B: 1. IL: 1. 
63	B: 1. 
Time (s): 0.00264
360	IL: 1. 
140	B: 1. IL: 1. 
60	B: 1. 
Time (s): 0.00266
361	IL: 1. 
139	B: 1. IL: 1. 
61	B: 1. 
Time (s): 0.00268
364	IL: 1. 
136	B: 1. IL: 1. 
64	B: 1. 
Time (s): 0.0027
362	IL: 1. 
138	B: 1. IL: 1. 
62	B: 1. 
Time (s): 0.00272
360	IL: 1. 
140	B: 1. IL: 1. 
60	B: 1. 
Time (s): 0.00274
361	IL: 1. 
139	B: 1. IL: 1. 
61	B: 1. 
Time (s): 0.00276
361	IL: 1. 
139	B: 1. IL: 1. 
61	B: 1. 
Time (s): 0.00278
358	IL: 1. 
142	B: 1. IL: 1. 
58	B: 1. 
Time (s): 0.0028
356	IL: 1. 
144	B: 1. IL: 1. 
56	B: 1. 
Time (s): 0.00282
355	IL: 1. 
145	B: 1. IL: 1. 
55	B: 1. 
Time (s): 0.00284
354	IL: 1. 
146	B: 1. IL: 1. 
54	B: 1. 
Time (s): 0.00286
354	IL: 1. 
146	B: 1. IL: 1. 
54	B: 1. 
Time (s): 0.00288
351	IL: 1. 
149	B: 1. IL: 1. 
51	B: 1. 
Time (s): 0.0029
351	IL: 1. 
149	B: 1. IL: 1. 
51	B: 1. 
Time (s): 0.00292
351	IL: 1. 
149	B: 1. IL: 1. 
51	B: 1. 
Time (s): 0.00294
352	IL: 1. 
148	B: 1. IL: 1. 
52	B: 1. 
Time (s): 0.00296
351	IL: 1. 
149	B: 1. IL: 1. 
51	B: 1. 
Time (s): 0.00298
352	IL: 1. 
148	B: 1. IL: 1. 
52	B: 1. 
Time (s): 0.003
354	IL: 1. 
146	B: 1. IL: 1. 
54	B: 1. 
Time (s): 0.00302
353	IL: 1. 
147	B: 1. IL: 1. 
53	B: 1. 
Time (s): 0.00304
354	IL: 1. 
146	B: 1. IL: 1. 
54	B: 1. 
Time (s): 0.00306
355	IL: 1. 
145	B: 1. IL: 1. 
55	B: 1. 
Time (s): 0.00308
350	IL: 1. 
150	B: 1. IL: 1. 
50	B: 1. 
Time (s): 0.0031
349	IL: 1. 
151	B: 1. IL: 1. 
49	B: 1. 
Time (s): 0.00312
349	IL: 1. 
151	B: 1. IL: 1. 
49	B: 1. 
Time (s): 0.00314
348	IL: 1. 
152	B: 1. IL: 1. 
48	B: 1. 
Time (s): 0.00316
346	IL: 1. 
154	B: 1. IL: 1. 
46	B: 1. 
Time (s): 0.00318
346	IL: 1. 
154	B: 1. IL: 1. 
46	B: 1. 
Time (s): 0.0032
348	IL: 1. 
152	B: 1. IL: 1. 
48	B: 1. 
Time (s): 0.00322
349	IL: 1. 
151	B: 1. IL: 1. 
49	B: 1. 
Time (s): 0.00324
349	IL: 1. 
151	B: 1. IL: 1. 
49	B: 1. 
Time (s): 0.00326
350	IL: 1. 
150	B: 1. IL: 1. 
50	B: 1. 
Time (s): 0.00328
351	IL: 1. 
149	B: 1. IL: 1. 
51	B: 1. 
Time (s): 0.0033
353	IL: 1. 
147	B: 1. IL: 1. 
53	B: 1. 
Time (s): 0.00332
351	IL: 1. 
149	B: 1. IL: 1. 
51	B: 1. 
Time (s): 0.00334
348	IL: 1. 
152	B: 1. IL: 1. 
48	B: 1. 
Time (s): 0.00336
348	IL: 1. 
152	B: 1. IL: 1. 
48	B: 1. 
Time (s): 0.00338
346	IL: 1. 
154	B: 1. IL: 1. 
46	B: 1. 
Time (s): 0.0034
345	IL: 1. 
155	B: 1. IL: 1. 
45	B: 1. 
Time (s): 0.00342
348	IL: 1. 
152	B: 1. IL: 1. 
48	B: 1. 
Time (s): 0.00344
350	IL: 1. 
150	B: 1. IL: 1. 
50	B: 1. 
Time (s): 0.00346
350	IL: 1. 
150	B: 1. IL: 1. 
50	B: 1. 
Time (s): 0.00348
350	IL: 1. 
150	B: 1. IL: 1. 
50	B: 1. 
Time (s): 0.0035
349	IL: 1. 
151	B: 1. IL: 1. 
49	B: 1. 
Time (s): 0.00352
348	IL: 1. 
152	B: 1. IL: 1. 
48	B: 1. 
Time (s): 0.00354
349	IL: 1. 
151	B: 1. IL: 1. 
49	B: 1. 
Time (s): 0.00356
348	IL: 1. 
152	B: 1. IL: 1. 
48	B: 1. 
Time (s): 0.00358
347	IL: 1. 
153	B: 1. IL: 1. 
47	B: 1. 
Time (s): 0.0036
345	IL: 1. 
155	B: 1. IL: 1. 
45	B: 1. 
Time (s): 0.00362
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.00364
346	IL: 1. 
154	B: 1. IL: 1. 
46	B: 1. 
Time (s): 0.00366
349	IL: 1. 
151	B: 1. IL: 1. 
49	B: 1. 
Time (s): 0.00368
350	IL: 1. 
150	B: 1. IL: 1. 
50	B: 1. 
Time (s): 0.0037
348	IL: 1. 
152	B: 1. IL: 1. 
48	B: 1. 
Time (s): 0.00372
346	IL: 1. 
154	B: 1. IL: 1. 
46	B: 1. 
Time (s): 0.00374
345	IL: 1. 
155	B: 1. IL: 1. 
45	B: 1. 
Time (s): 0.00376
347	IL: 1. 
153	B: 1. IL: 1. 
47	B: 1. 
Time (s): 0.00378
346	IL: 1. 
154	B: 1. IL: 1. 
46	B: 1. 
Time (s): 0.0038
346	IL: 1. 
154	B: 1. IL: 1. 
46	B: 1. 
Time (s): 0.00382
347	IL: 1. 
153	B: 1. IL: 1. 
47	B: 1. 
Time (s): 0.00384
348	IL: 1. 
152	B: 1. IL: 1. 
48	B: 1. 
Time (s): 0.00386
346	IL: 1. 
154	B: 1. IL: 1. 
46	B: 1. 
Time (s): 0.00388
348	IL: 1. 
152	B: 1. IL: 1. 
48	B: 1. 
Time (s): 0.0039
349	IL: 1. 
151	B: 1. IL: 1. 
49	B: 1. 
Time (s): 0.00392
349	IL: 1. 
151	B: 1. IL: 1. 
49	B: 1. 
Time (s): 0.00394
350	IL: 1. 
150	B: 1. IL: 1. 
50	B: 1. 
Time (s): 0.00396
353	IL: 1. 
147	B: 1. IL: 1. 
53	B: 1. 
Time (s): 0.00398
349	IL: 1. 
151	B: 1. IL: 1. 
49	B: 1. 
Time (s): 0.004
351	IL: 1. 
149	B: 1. IL: 1. 
51	B: 1. 
Time (s): 0.00402
351	IL: 1. 
149	B: 1. IL: 1. 
51	B: 1. 
Time (s): 0.00404
352	IL: 1. 
148	B: 1. IL: 1. 
52	B: 1. 
Time (s): 0.00406
352	IL: 1. 
148	B: 1. IL: 1. 
52	B: 1. 
Time (s): 0.00408
351	IL: 1. 
149	B: 1. IL: 1. 
51	B: 1. 
Time (s): 0.0041
351	IL: 1. 
149	B: 1. IL: 1. 
51	B: 1. 
Time (s): 0.00412
350	IL: 1. 
150	B: 1. IL: 1. 
50	B: 1. 
Time (s): 0.00414
352	IL: 1. 
148	B: 1. IL: 1. 
52	B: 1. 
Time (s): 0.00416
348	IL: 1. 
152	B: 1. IL: 1. 
48	B: 1. 
Time (s): 0.00418
348	IL: 1. 
152	B: 1. IL: 1. 
48	B: 1. 
Time (s): 0.0042
349	IL: 1. 
151	B: 1. IL: 1. 
49	B: 1. 
Time (s): 0.00422
347	IL: 1. 
153	B: 1. IL: 1. 
47	B: 1. 
Time (s): 0.00424
347	IL: 1. 
153	B: 1. IL: 1. 
47	B: 1. 
Time (s): 0.00426
347	IL: 1. 
153	B: 1. IL: 1. 
47	B: 1. 
Time (s): 0.00428
347	IL: 1. 
153	B: 1. IL: 1. 
47	B: 1. 
Time (s): 0.0043
347	IL: 1. 
153	B: 1. IL: 1. 
47	B: 1. 
Time (s): 0.00432
347	IL: 1. 
153	B: 1. IL: 1. 
47	B: 1. 
Time (s): 0.00434
351	IL: 1. 
149	B: 1. IL: 1. 
51	B: 1. 
Time (s): 0.00436
348	IL: 1. 
152	B: 1. IL: 1. 
48	B: 1. 
Time (s): 0.00438
346	IL: 1. 
154	B: 1. IL: 1. 
46	B: 1. 
Time (s): 0.0044
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.00442
344	IL: 1. 
156	B: 1. IL: 1. 
44	B: 1. 
Time (s): 0.00444
341	IL: 1. 
159	B: 1. IL: 1. 
41	B: 1. 
Time (s): 0.00446
341	IL: 1. 
159	B: 1. IL: 1. 
41	B: 1. 
Time (s): 0.00448
340	IL: 1. 
160	B: 1. IL: 1. 
40	B: 1. 
Time (s): 0.0045
340	IL: 1. 
160	B: 1. IL: 1. 
40	B: 1. 
Time (s): 0.00452
339	IL: 1. 
161	B: 1. IL: 1. 
39	B: 1. 
Time (s): 0.00454
340	IL: 1. 
