Time (s): 0
100	A: 1. 
100	B: 1. 
Time (s): 0.001
86	A: 1. 
4	A: 1. B: 1. 
85	B: 1. 
1	A: 2. B: 1. 
1	A: 1. B: 2. 
2	A: 2. 
1	A: 3. 
4	B: 2. 
Time (s): 0.002
76	A: 1. 
3	A: 1. B: 1. 
79	B: 1. 
3	A: 2. B: 1. 
1	A: 1. B: 3. 
5	A: 2. 
1	A: 1. B: 2. 
1	A: 3. 
5	B: 2. 
Time (s): 0.003
67	A: 1. 
68	B: 1. 
5	A: 1. B: 1. 
3	A: 2. B: 1. 
1	A: 1. B: 3. 
5	A: 2. 
5	B: 2. 
3	A: 3. 
2	A: 1. B: 2. 
1	B: 3. 
1	B: 4. 
Time (s): 0.004
61	A: 1. 
65	B: 1. 
1	A: 2. B: 2. 
4	A: 1. B: 1. 
1	A: 2. B: 1. 
6	A: 2. 
1	A: 1. B: 3. 
5	B: 2. 
2	A: 3. B: 1. 
1	A: 4. B: 1. 
2	A: 1. B: 2. 
2	A: 3. 
1	B: 3. 
1	B: 5. 
Time (s): 0.005
2	A: 1. B: 2. 
56	A: 1. 
58	B: 1. 
1	A: 2. B: 2. 
3	A: 1. B: 1. 
2	A: 2. B: 1. 
7	A: 2. 
1	B: 6. 
1	A: 1. B: 3. 
2	A: 3. B: 1. 
1	A: 4. B: 1. 
1	A: 2. B: 3. 
2	A: 3. 
2	B: 2. 
4	B: 3. 
Time (s): 0.006
2	A: 1. B: 2. 
51	A: 1. 
52	B: 1. 
1	A: 2. B: 2. 
6	A: 1. B: 1. 
3	A: 2. B: 1. 
7	A: 2. 
1	B: 6. 
1	A: 1. B: 3. 
2	A: 3. B: 1. 
1	A: 4. B: 1. 
2	A: 3. 
1	A: 2. B: 3. 
3	B: 2. 
4	B: 3. 
Time (s): 0.007
2	A: 1. B: 2. 
43	A: 1. 
52	B: 1. 
5	A: 1. B: 1. 
4	A: 2. B: 1. 
7	A: 2. 
1	B: 6. 
1	A: 1. B: 3. 
1	A: 3. B: 2. 
4	A: 3. 
2	A: 3. B: 1. 
1	A: 4. B: 1. 
1	A: 2. B: 3. 
3	B: 2. 
4	B: 3. 
Time (s): 0.008
2	A: 1. B: 2. 
39	A: 1. 
44	B: 1. 
5	A: 1. B: 1. 
3	A: 2. B: 1. 
6	A: 2. 
1	B: 6. 
1	A: 1. B: 3. 
1	A: 3. B: 2. 
4	A: 3. 
1	A: 4. 
1	A: 4. B: 1. 
1	A: 5. B: 2. 
1	A: 3. B: 1. 
1	A: 2. B: 4. 
5	B: 2. 
1	A: 2. B: 3. 
4	B: 3. 
Time (s): 0.009
2	A: 1. B: 2. 
36	A: 1. 
7	B: 2. 
39	B: 1. 
5	A: 1. B: 1. 
3	A: 2. B: 1. 
6	A: 2. 
5	A: 3. 
1	B: 6. 
1	A: 1. B: 3. 
1	A: 3. B: 2. 
1	A: 4. 
1	A: 4. B: 1. 
1	A: 5. B: 2. 
1	A: 3. B: 1. 
1	A: 2. B: 4. 
1	A: 2. B: 3. 
3	B: 3. 
1	B: 4. 
Time (s): 0.01
2	A: 1. B: 2. 
31	A: 1. 
8	B: 2. 
37	B: 1. 
5	A: 1. B: 1. 
2	A: 2. B: 1. 
6	A: 2. 
5	A: 3. 
1	B: 6. 
1	A: 1. B: 3. 
1	A: 4. B: 2. 
1	A: 4. 
1	A: 6. B: 1. 
1	A: 5. B: 2. 
1	A: 1. B: 4. 
3	B: 3. 
2	A: 3. B: 1. 
1	A: 2. B: 4. 
1	A: 2. B: 3. 
Time (s): 0.011
2	A: 1. B: 2. 
28	A: 1. 
2	A: 4. 
8	B: 2. 
36	B: 1. 
1	A: 2. B: 2. 
5	A: 2. 
3	A: 1. B: 1. 
1	B: 6. 
1	A: 1. B: 3. 
1	A: 4. B: 2. 
4	A: 3. 
3	A: 3. B: 1. 
1	A: 6. B: 1. 
1	A: 5. B: 2. 
1	A: 1. B: 4. 
2	A: 2. B: 1. 
3	B: 3. 
1	A: 3. B: 4. 
1	A: 2. B: 3. 
Time (s): 0.012
1	A: 1. B: 2. 
27	A: 1. 
2	A: 4. 
8	B: 2. 
30	B: 1. 
1	A: 2. B: 2. 
3	A: 2. 
4	A: 1. B: 1. 
1	B: 6. 
2	A: 1. B: 3. 
4	B: 3. 
1	A: 4. B: 2. 
1	A: 5. 
3	A: 3. B: 1. 
1	A: 6. B: 1. 
1	A: 5. B: 2. 
3	A: 3. 
1	A: 1. B: 4. 
3	A: 2. B: 1. 
1	A: 3. B: 4. 
1	A: 2. B: 3. 
Time (s): 0.013
1	A: 1. B: 2. 
26	A: 1. 
2	A: 4. 
8	B: 2. 
27	B: 1. 
1	A: 2. B: 2. 
3	A: 2. 
2	A: 3. 
3	A: 1. B: 1. 
1	B: 6. 
3	A: 2. B: 1. 
1	A: 1. B: 3. 
4	B: 3. 
1	A: 4. B: 3. 
1	A: 5. 
3	A: 3. B: 1. 
1	A: 6. B: 1. 
1	A: 5. B: 2. 
2	A: 1. B: 4. 
1	A: 4. B: 1. 
1	A: 4. B: 5. 
1	A: 2. B: 3. 
Time (s): 0.014
1	A: 1. B: 2. 
