Time (s),A(lg1),A(lg2),A(lg3),A(lg4),A(lg5),B(lg1),B(lg2),B(lg3),B(lg4),B(lg5),A(lg1!1).A(lg1!1),A(lg2!1).A(lg2!1),A(lg3!1).A(lg3!1),A(lg4!1).A(lg4!1),A(lg5!1).A(lg5!1),A(lg1!1).A(lg2!1),A(lg1!1).A(lg3!1),A(lg1!1).A(lg4!1),A(lg1!1).A(lg5!1),A(lg2!1).A(lg3!1),A(lg2!1).A(lg4!1),A(lg2!1).A(lg5!1),A(lg3!1).A(lg4!1),A(lg3!1).A(lg5!1),A(lg4!1).A(lg5!1),B(lg1!1).B(lg1!1),B(lg2!1).B(lg2!1),B(lg3!1).B(lg3!1),B(lg4!1).B(lg4!1),B(lg5!1).B(lg5!1),B(lg1!1).B(lg2!1),B(lg1!1).B(lg3!1),B(lg1!1).B(lg4!1),B(lg1!1).B(lg5!1),B(lg2!1).B(lg3!1),B(lg2!1).B(lg4!1),B(lg2!1).B(lg5!1),B(lg3!1).B(lg4!1),B(lg3!1).B(lg5!1),B(lg4!1).B(lg5!1),A(lg1!1).B(lg1!1),A(lg1!1).B(lg2!1),A(lg1!1).B(lg3!1),A(lg1!1).B(lg4!1),A(lg1!1).B(lg5!1),A(lg2!1).B(lg1!1),A(lg2!1).B(lg2!1),A(lg2!1).B(lg3!1),A(lg2!1).B(lg4!1),A(lg2!1).B(lg5!1),A(lg3!1).B(lg1!1),A(lg3!1).B(lg2!1),A(lg3!1).B(lg3!1),A(lg3!1).B(lg4!1),A(lg3!1).B(lg5!1),A(lg4!1).B(lg1!1),A(lg4!1).B(lg2!1),A(lg4!1).B(lg3!1),A(lg4!1).B(lg4!1),A(lg4!1).B(lg5!1),A(lg5!1).B(lg1!1),A(lg5!1).B(lg2!1),A(lg5!1).B(lg3!1),A(lg5!1).B(lg4!1),A(lg5!1).B(lg5!1)
0,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.001,98,99,97,96,95,97,97,95,99,95,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,1
0.002,95,96,96,94,91,94,95,92,96,93,0,0,0,0,1,1,1,0,0,0,1,0,1,0,3,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,2,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2,0,1
0.003,92,92,93,91,88,91,93,87,91,90,0,0,1,0,1,2,1,0,2,0,3,0,1,0,3,0,0,0,1,1,2,1,1,0,1,2,1,1,3,2,2,0,1,0,0,1,0,2,0,0,1,0,1,1,0,1,0,0,0,1,0,1,3,0,1
0.004,89,91,87,88,81,89,92,85,88,88,0,0,2,0,1,2,3,0,3,0,3,0,1,2,5,0,0,0,1,1,2,2,2,0,1,2,2,1,3,2,2,0,1,0,0,1,0,2,1,0,1,0,1,1,0,1,0,0,1,1,0,1,4,0,2
0.005,87,89,83,87,78,85,87,82,84,86,0,0,2,0,1,3,4,0,3,0,3,0,1,3,5,0,0,0,1,1,3,2,3,0,2,2,3,3,3,2,2,0,1,0,0,1,1,2,1,0,1,0,1,2,1,2,0,0,1,1,1,2,4,0,2
0.006,84,88,81,86,78,84,87,79,83,84,0,0,2,0,1,3,5,0,3,0,3,0,1,3,5,0,0,0,1,1,3,2,3,0,2,2,3,3,4,2,2,0,2,1,0,1,1,3,1,0,2,0,1,2,1,2,0,0,1,2,1,2,4,0,2
0.007,83,84,79,84,75,84,87,79,83,82,0,0,2,0,1,4,5,0,3,1,4,1,1,3,6,0,0,0,1,1,3,2,3,0,2,2,3,3,4,2,2,0,2,1,0,1,1,3,1,0,2,0,1,2,2,2,0,0,1,2,1,2,4,0,3
0.008,79,82,76,79,69,79,84,76,80,80,1,0,2,0,3,4,5,2,3,1,4,2,1,3,7,2,0,0,1,1,4,2,3,0,3,3,3,3,4,2,2,0,2,1,0,1,1,3,2,0,2,0,1,3,4,2,0,2,1,2,1,2,4,0,3
0.009,78,81,75,78,67,78,83,74,79,79,1,0,2,0,3,4,5,3,3,1,4,3,1,4,7,2,0,0,1,1,4,3,3,0,3,3,4,4,4,2,2,0,2,1,0,1,1,3,2,0,2,0,1,3,4,2,0,2,1,2,1,2,4,0,3
